frame_number,timestamp,YOLO_Simple_processing_time_ms,YOLO_Simple_fps,YOLO_Simple_track_count,YOLO_Simple_detection_count,YOLO_Simple_id_switches,ByteTrack_processing_time_ms,ByteTrack_fps,ByteTrack_track_count,ByteTrack_detection_count,ByteTrack_id_switches
0,1748166603.702482,72.70407676696777,13.765943410778931,6,6,0,49.3168830871582,20.29351370704754,3,6,0
1,1748166603.824867,39.69883918762207,17.80914934993249,6,5,0,41.34798049926758,22.078479779968152,3,5,0
2,1748166603.906352,32.171010971069336,20.77149054604162,5,5,0,33.100128173828125,24.26084592529466,4,5,1
3,1748166603.972037,33.118247985839844,22.53448361546407,5,5,0,33.921003341674805,25.389902585266267,4,5,0
4,1748166604.0394628,33.49423408508301,23.70086410907258,5,5,0,32.78398513793945,26.274601681101824,4,5,0
5,1748166604.106945,36.87405586242676,24.212994250263623,5,5,0,33.49614143371582,26.81385729720054,4,5,0
6,1748166604.1777248,32.508134841918945,24.97556726445574,5,5,0,32.621145248413086,27.30587938777807,4,5,0
7,1748166604.2432508,35.96687316894531,25.300117021148257,5,5,0,34.60407257080078,27.49793034723127,4,5,0
8,1748166604.314214,33.349037170410156,25.750181451062783,5,5,0,33.89573097229004,27.70970415321814,4,5,0
9,1748166604.381832,33.13875198364258,26.13626889118342,5,5,0,33.772945404052734,27.890960499314414,4,5,0
10,1748166604.449134,32.49096870422363,26.502128793744816,5,5,0,33.93197059631348,28.02953537793449,4,5,0
11,1748166604.516062,32.293081283569336,26.826491105387934,5,5,0,33.461809158325195,28.177222375553743,4,5,0
12,1748166604.582228,33.41317176818848,27.043880006130333,6,6,1,32.63378143310547,28.354938873487438,4,6,0
13,1748166604.6486819,34.18684005737305,27.19244171965511,7,6,1,32.63568878173828,28.50846608420059,4,6,0
14,1748166604.715958,32.50575065612793,27.406276109435943,7,7,1,33.341169357299805,28.6042622762996,4,7,0
15,1748166604.782281,32.343149185180664,27.60382108176233,7,5,0,33.45203399658203,28.68296093862529,4,5,1
16,1748166604.8485608,32.381296157836914,27.77918515932778,5,5,0,32.491207122802734,28.79956313852015,4,5,0
17,1748166604.913857,32.334089279174805,27.93876505783333,5,4,0,34.29102897644043,28.820801145846534,4,4,0
18,1748166604.980992,33.19597244262695,28.047428626533705,5,4,1,32.319068908691406,28.926423475725066,3,4,0
19,1748166605.0469089,31.98981285095215,28.193684776580906,5,5,1,32.9289436340332,28.99638573873896,4,5,0
20,1748166605.112233,33.65731239318848,28.263721707521814,6,6,0,33.73289108276367,29.02769318178448,4,6,0
21,1748166605.180043,33.0500602722168,28.349931041305474,6,4,0,32.367706298828125,29.108688472100198,4,4,0
22,1748166605.2459142,32.1958065032959,28.45926362102851,4,4,0,33.171892166137695,29.153333266848414,4,4,0
23,1748166605.3117561,31.768798828125,28.57463509347625,5,5,1,33.16497802734375,29.194623678367336,4,5,0
24,1748166605.3770618,31.600236892700195,28.68716161314945,6,6,0,32.86600112915039,29.243076154215995,4,6,0
25,1748166605.441969,33.06317329406738,28.74532194857458,6,6,0,32.608747482299805,29.296261024188,4,6,0
26,1748166605.5080829,32.90128707885742,28.804395201904587,7,6,1,33.38289260864258,29.321076669739117,4,6,0
27,1748166605.574831,32.35268592834473,28.875829801526255,6,6,0,32.58180618286133,29.368850548612937,4,6,0
28,1748166605.640228,32.82666206359863,28.928890024149663,6,6,0,32.4859619140625,29.416272506318094,3,6,0
29,1748166605.705993,32.65786170959473,28.983375040079014,6,6,0,32.99093246459961,29.446124424845276,3,6,0
30,1748166605.772099,32.71293640136719,30.14745594470636,6,5,0,33.51116180419922,29.909820653917922,3,5,0
31,1748166605.8387892,37.89687156677246,30.202197481460427,5,3,0,34.59906578063965,30.112227042467083,2,3,0
32,1748166605.911707,32.75012969970703,30.184353010912066,4,4,1,33.576011657714844,30.09787918856909,3,4,0
33,1748166605.978421,32.8981876373291,30.19084934701604,4,4,0,32.99975395202637,30.125499451617745,3,4,0
34,1748166606.044672,33.19191932678223,30.200146069597388,4,3,0,32.44519233703613,30.13575193813302,2,3,0
35,1748166606.1106849,32.11379051208496,30.345716407975843,3,1,0,33.885955810546875,30.12397768564453,1,1,0
36,1748166606.177044,31.836271286010742,30.36642684832753,4,4,2,35.79378128051758,30.028429721456508,1,4,0
37,1748166606.245028,32.24968910217285,30.481232823452036,4,2,0,33.164024353027344,30.071825874235174,1,2,0
38,1748166606.310796,32.20105171203613,30.516642636532193,3,3,1,32.99117088317871,30.099103120348936,1,3,0
39,1748166606.37634,34.19899940490723,30.4838395515988,5,5,0,33.00619125366211,30.122283008763844,2,5,1
40,1748166606.443912,35.10284423828125,30.403046753075422,5,3,0,34.597158432006836,30.102242600461526,2,3,0
41,1748166606.5140212,32.94205665588379,30.383181368071288,5,5,2,32.6991081237793,30.125319139563345,3,5,0
42,1748166606.580183,33.03790092468262,30.394982944824132,6,4,0,33.17904472351074,30.10884052276759,2,4,0
43,1748166606.6468139,31.634807586669922,30.473703139057978,5,3,1,32.93490409851074,30.099787125582985,2,3,0
44,1748166606.7117891,32.362937927246094,30.47828694503842,4,4,1,33.743858337402344,30.087688422985693,3,4,0
45,1748166606.778367,32.06920623779297,30.48689730231594,5,5,0,32.43517875671387,30.11855539071577,4,5,0
46,1748166606.8432698,33.190011978149414,30.461707625115263,5,3,0,32.241106033325195,30.126249572931147,2,3,0
47,1748166606.9090922,33.10585021972656,30.437766994518597,3,3,0,32.77587890625,30.172193478415686,3,3,1
48,1748166606.975338,32.37199783325195,30.463167828461845,4,4,1,31.71515464782715,30.190559595760867,3,4,0
49,1748166607.039767,32.62495994567871,30.44355527468587,4,3,0,33.44297409057617,30.17495022765064,3,3,0
50,1748166607.1062038,32.34291076660156,30.48427528052731,3,3,0,33.18190574645996,30.191718634152895,3,3,0
51,1748166607.172081,32.3481559753418,30.506003661327895,4,4,0,32.81879425048828,30.178054886886063,3,4,0
52,1748166607.237599,31.980037689208984,30.512668799310934,5,4,0,33.293962478637695,30.174349633063624,3,4,0
53,1748166607.3032699,31.9211483001709,30.507948900101102,4,4,0,32.607078552246094,30.1912984724531,3,4,0
54,1748166607.368195,31.89682960510254,30.499060516686736,5,5,0,32.73200988769531,30.195247004991142,3,5,0
55,1748166607.433214,33.18309783935547,30.495216897323242,5,4,0,32.37509727478027,30.20257444963866,3,4,0
56,1748166607.499168,32.405853271484375,30.51041223897266,5,5,1,32.84192085266113,30.219155855851962,3,5,0
57,1748166607.5648232,32.97781944274902,30.49082009805692,6,5,1,32.72891044616699,30.2147076995336,3,5,0
58,1748166607.6309361,32.94992446899414,30.486852982707443,5,4,0,32.6230525970459,30.210652528728293,3,4,0
59,1748166607.696935,31.887054443359375,30.510700764142847,7,7,1,33.44416618347168,30.19687018758764,3,7,0
60,1748166607.7627,32.41991996765137,30.519692166864786,8,6,1,33.941030502319336,30.183867889542057,3,6,0
61,1748166607.829609,36.149024963378906,30.573937789388975,6,5,0,36.767005920410156,30.118238189226105,3,5,0
62,1748166607.903002,33.141136169433594,30.561974594740718,5,5,0,33.28204154968262,30.127136783855974,4,5,0
63,1748166607.96985,32.396793365478516,30.577548636940893,5,5,0,32.49001502990723,30.14266782801671,3,5,0
64,1748166608.035127,32.35673904418945,30.60347368758993,6,6,1,32.77277946472168,30.133197182599396,3,6,0
65,1748166608.100714,34.43098068237305,30.53117037618654,7,5,0,33.32209587097168,30.15025874580468,3,5,0
66,1748166608.169007,32.15289115905762,30.521165337920635,5,4,0,32.959938049316406,30.236140550617353,3,4,0
