frame_number,timestamp,YOLO_Simple_processing_time_ms,YOLO_Simple_fps,YOLO_Simple_track_count,YOLO_Simple_detection_count,YOLO_Simple_id_switches,YOLO_Advanced_processing_time_ms,YOLO_Advanced_fps,YOLO_Advanced_track_count,YOLO_Advanced_detection_count,YOLO_Advanced_id_switches,ByteTrack_processing_time_ms,ByteTrack_fps,ByteTrack_track_count,ByteTrack_detection_count,ByteTrack_id_switches
0,1748167881.8263848,54.6259880065918,18.32405983503425,5,5,0,49.3779182434082,20.263414964080216,5,5,0,49.093008041381836,20.38444790046656,4,5,0
1,1748167881.9851038,32.22322463989258,23.05341640169618,5,5,0,36.4680290222168,23.311855448070407,5,5,0,32.38987922668457,24.564869043714566,4,5,0
2,1748167882.089513,33.78605842590332,24.895410055972032,5,5,0,38.050174713134766,24.229079334759525,5,5,0,32.60302543640137,26.318522655254853,4,5,0
3,1748167882.196008,32.6540470123291,26.12260353850298,5,5,0,34.88469123840332,25.20823685851445,5,5,0,31.524181365966797,27.49484345168348,4,5,0
4,1748167882.29697,31.04877471923828,27.153820357544706,5,5,0,36.7579460144043,25.587287565869985,5,5,0,33.41794013977051,27.953118939431302,4,5,0
5,1748167882.400194,32.63998031616211,27.683195371068074,5,5,0,37.50491142272949,25.76330070668882,5,5,0,33.87784957885742,28.206229937413696,4,5,0
6,1748167882.5060859,34.333229064941406,27.884666634375296,5,5,0,37.91213035583496,25.85157772301071,5,5,0,32.79423713684082,28.515471226791213,4,5,0
7,1748167882.613276,34.49702262878418,28.022087340533208,5,5,0,34.857988357543945,26.177363121396212,5,5,0,32.39297866821289,28.793461872795188,4,5,0
8,1748167882.71744,31.383037567138672,28.405873703632917,5,5,0,35.225868225097656,26.40768961705819,5,5,0,32.25278854370117,29.026548454813184,4,5,0
9,1748167882.818698,31.404972076416016,28.71864817139011,5,5,0,34.9879264831543,26.611763526507367,5,5,0,31.711101531982422,29.261837487878218,4,5,0
10,1748167882.9191198,31.704187393188477,28.95682523543681,5,5,0,34.609317779541016,26.805678436512665,5,5,0,32.240867614746094,29.41522807039914,4,5,0
11,1748167883.0196009,31.53204917907715,29.170529283169163,5,5,0,35.346269607543945,26.9249090852678,5,5,0,35.94088554382324,29.277803695641804,4,5,0
12,1748167883.12512,37.48774528503418,28.964633750526563,5,5,0,37.00590133666992,26.93375129109332,5,5,0,33.210039138793945,29.34239842003159,4,5,0
13,1748167883.237061,32.2871208190918,29.101531788527147,5,5,0,34.77072715759277,27.05780631819141,5,5,0,31.57210350036621,29.499216807246164,4,5,0
14,1748167883.338026,31.98099136352539,29.238719092089944,7,7,2,36.4229679107666,27.085118858503748,7,7,2,32.27376937866211,29.595542785533247,4,7,0
15,1748167883.441233,31.445980072021484,29.388611074495763,7,6,0,37.484169006347656,27.060418618979952,7,6,0,32.13191032409668,29.687961020564714,4,6,0
16,1748167883.545142,31.228065490722656,29.533302600181997,6,6,0,36.2858772277832,27.090354666514695,6,6,0,31.470060348510742,29.805004510262414,4,6,0
