frame_number,timestamp,YOLO_Simple_processing_time_ms,YOLO_Simple_fps,YOLO_Simple_track_count,YOLO_Simple_detection_count,YOLO_Simple_id_switches,YOLO_Advanced_processing_time_ms,YOLO_Advanced_fps,YOLO_Advanced_track_count,YOLO_Advanced_detection_count,YOLO_Advanced_id_switches,ByteTrack_processing_time_ms,ByteTrack_fps,ByteTrack_track_count,ByteTrack_detection_count,ByteTrack_id_switches
0,1748167625.358829,127.21085548400879,7.864472374152249,5,5,0,52.330970764160156,19.120816200001823,5,5,0,48.026084899902344,20.83991593089639,4,5,0
1,1748167625.5867388,33.219099044799805,12.47426736835531,5,5,0,37.10317611694336,22.378095172038478,5,5,0,35.093069076538086,24.084571257945782,4,5,0
2,1748167625.692659,32.42301940917969,15.567188793228233,5,5,0,35.71915626525879,23.98824123764405,5,5,0,32.04798698425293,26.07344046249961,4,5,0
3,1748167625.7933922,31.251907348632812,17.86296259228422,5,5,0,37.030935287475586,24.68141422373781,5,5,0,33.20813179016113,26.983514486343562,4,5,0
4,1748167625.89538,31.145095825195312,19.605213094248715,5,5,0,35.57729721069336,25.30142954177208,5,5,0,32.366037368774414,27.68952482304151,4,5,0
5,1748167625.99499,31.87108039855957,20.915153660883917,5,5,0,35.85219383239746,25.702150780333213,5,5,0,32.636165618896484,28.145252258871924,4,5,0
6,1748167626.095871,32.36889839172363,21.929314121864014,5,5,0,35.70914268493652,26.00998935154261,5,5,0,33.624887466430664,28.365930501840975,4,5,0
7,1748167626.198085,33.24007987976074,22.700780316591775,5,5,0,42.439937591552734,25.678934040258945,5,5,0,37.00995445251465,28.193566330153047,4,5,0
8,1748167626.311291,37.01615333557129,23.113555957496576,5,5,0,40.16900062561035,25.5914091338967,5,5,0,33.969879150390625,28.329725518920387,4,5,0
9,1748167626.42297,32.65523910522461,23.69651227762119,5,5,0,35.15005111694336,25.85272044102999,5,5,0,32.800912857055664,28.53421374345968,4,5,0
10,1748167626.524081,33.55908393859863,24.147902115287486,5,5,0,37.1701717376709,25.946414813365138,5,5,0,32.26017951965332,28.74398500292503,4,5,0
11,1748167626.627566,31.6927433013916,24.63144480495647,5,5,0,35.67004203796387,26.110000793701435,5,5,0,33.52212905883789,28.833420695794743,4,5,0
12,1748167626.728946,31.90302848815918,25.045693295404487,5,5,0,35.642147064208984,26.251543409737913,5,5,0,32.978057861328125,28.94453787222477,4,5,0
13,1748167626.8300438,32.50408172607422,25.384431094236266,7,7,2,37.56380081176758,26.278841820589506,7,7,2,33.44082832336426,29.01261489874286,4,7,0
14,1748167626.934129,32.02080726623535,25.706892388230518,7,6,0,39.45493698120117,26.215656166857993,7,6,0,32.723188400268555,29.112595247647352,4,6,0
15,1748167627.038996,33.70404243469238,25.924861826375817,6,6,0,37.988901138305664,26.22348602816679,6,6,0,32.23705291748047,29.22684263750698,4,6,0
16,1748167627.143543,31.762123107910156,26.19861340905241,6,6,0,37.222862243652344,26.261390510151802,6,6,0,33.71715545654297,29.253373834942813,4,6,0
17,1748167627.2468731,31.869888305664062,26.442382920240448,7,7,1,38.19608688354492,26.25781657031522,7,7,1,32.6690673828125,29.326912013598818,4,7,0
18,1748167627.350235,31.692028045654297,26.671143329517996,8,8,1,40.73476791381836,26.162797324750265,8,8,1,33.16974639892578,29.37022053525656,4,8,0
19,1748167627.456557,31.264066696166992,26.895762108387707,8,6,0,39.84403610229492,26.108326763670476,8,6,0,33.13732147216797,29.410895617470096,3,6,0
20,1748167627.561586,33.60724449157715,27.02088495466628,8,7,2,38.41900825500488,26.10533254219425,8,7,2,33.05792808532715,29.451023676072253,3,7,0
21,1748167627.667465,32.102108001708984,27.185838038146628,8,8,1,39.25299644470215,26.076844644500262,8,8,1,34.715890884399414,29.422215561702366,3,8,0
22,1748167627.774312,32.59897232055664,27.32208793119758,8,8,0,40.2989387512207,26.019971420078985,8,8,0,33.32400321960449,29.448276935747625,3,8,0
23,1748167627.881311,33.11014175415039,27.4320845139971,8,8,0,41.33796691894531,25.938960661475953,8,8,0,33.16926956176758,29.477920542240103,3,8,0
24,1748167627.9897,32.591819763183594,27.54985150169307,8,8,0,41.07785224914551,25.871901302581104,8,8,0,32.798051834106445,29.5181777695953,3,8,0
25,1748167628.09695,31.834840774536133,27.681808685869377,9,8,1,41.04423522949219,25.811077101938835,9,8,1,32.5779914855957,29.56289535107528,3,8,0
26,1748167628.203242,31.517982482910156,27.814124202757874,9,6,1,38.140296936035156,25.826482643680443,9,6,1,33.66875648498535,29.56915013197552,3,6,0
27,1748167628.307464,32.31191635131836,27.916038316877508,8,8,2,39.073944091796875,25.81864852803127,8,8,2,32.472848892211914,29.612216801632297,3,8,0
28,1748167628.412176,31.739234924316406,28.027159207454748,10,10,2,43.25294494628906,25.715823389626973,10,10,2,33.38289260864258,29.624924771550287,3,10,0
