frame_number,timestamp,YOLO_Simple_processing_time_ms,YOLO_Simple_fps,YOLO_Simple_track_count,YOLO_Simple_detection_count,YOLO_Simple_id_switches,YOLO_Advanced_processing_time_ms,YOLO_Advanced_fps,YOLO_Advanced_track_count,YOLO_Advanced_detection_count,YOLO_Advanced_id_switches,ByteTrack_processing_time_ms,ByteTrack_fps,ByteTrack_track_count,ByteTrack_detection_count,ByteTrack_id_switches
0,1748167399.710434,77.72517204284668,12.87650928828212,1,1,0,45.61305046081543,21.939490312591538,1,1,0,41.89705848693848,23.889775529848663,1,1,0
1,1748167399.8779478,29.83713150024414,18.612646274412352,1,1,0,30.280113220214844,26.374874627813604,1,1,0,29.310941696166992,28.114029854748004,1,1,0
2,1748167399.969298,26.48305892944336,22.404472735366124,1,1,0,26.95488929748535,29.194826890147983,1,1,0,27.675867080688477,30.369666324745065,1,1,0
3,1748167400.052338,26.504039764404297,24.94215522303741,1,1,0,26.298999786376953,30.999857724365903,1,1,0,26.411056518554688,31.957819345498876,1,1,0
4,1748167400.1336498,26.705026626586914,26.731793870360836,1,1,0,26.447772979736328,32.16328007938249,1,1,0,27.61673927307129,32.73240351118159,1,1,0
5,1748167400.216324,26.139020919799805,28.14915600038925,1,1,0,26.59916877746582,32.96160651954383,1,1,0,26.948928833007812,33.393475448339004,1,1,0
6,1748167400.298003,26.020050048828125,29.271990037995597,1,1,0,26.83281898498535,33.518653231864505,1,1,0,26.903629302978516,33.88984463374656,1,1,0
7,1748167400.379651,27.80294418334961,29.973043009878634,1,1,0,27.432918548583984,33.8627181863687,1,1,0,26.535987854003906,34.326433489171464,1,1,0
8,1748167400.4632802,27.422189712524414,30.581378354950303,1,1,0,27.32396125793457,34.14976098890163,1,1,0,26.741981506347656,34.645821574010085,1,1,0
9,1748167400.5466309,27.54974365234375,31.073959405266486,1,1,0,26.740074157714844,34.451889952506825,1,1,0,26.45707130432129,34.94030422685393,1,1,0
10,1748167400.629215,26.994943618774414,31.5389659217373,1,1,0,27.33325958251953,34.638373779629,1,1,0,26.648998260498047,35.16362161947936,1,1,0
11,1748167400.712045,26.669740676879883,31.964821430272547,1,1,0,27.86111831665039,34.74195846287226,1,1,0,26.195049285888672,35.39957589419158,1,1,0
12,1748167400.794774,26.834964752197266,32.32111781397469,1,1,0,27.448177337646484,34.86864741426555,1,1,0,26.74412727355957,35.54784581533698,1,1,0
13,1748167400.877933,26.37195587158203,32.66853597528952,1,1,0,27.30703353881836,34.99039794253544,1,1,0,25.966882705688477,35.74672774590226,1,1,0
14,1748167400.959462,27.02617645263672,32.92809571536611,1,1,0,27.63199806213379,35.06993969812272,1,1,0,26.41892433166504,35.88267199592093,1,1,0
15,1748167401.04258,26.829957962036133,33.171959309165324,1,1,0,26.989221572875977,35.18960496889199,1,1,0,26.373863220214844,36.00595119611423,1,1,0
16,1748167401.124674,26.664018630981445,33.401320347526934,1,1,0,26.426076889038086,35.33703141486062,1,1,0,27.096033096313477,36.05989013601004,1,1,0
17,1748167401.206777,27.580976486206055,33.5501674009437,1,1,0,26.79610252380371,35.44349132426951,1,1,0,26.27873420715332,36.167094698205425,1,1,0
18,1748167401.289471,27.395009994506836,33.695470599253554,1,1,0,26.383161544799805,35.567031805652746,1,1,0,27.298927307128906,36.19337888023297,1,1,0
19,1748167401.372559,27.069091796875,33.84615881203267,1,1,0,25.750160217285156,35.7189884100539,1,1,0,26.43108367919922,36.27386948580285,1,1,0
20,1748167401.453842,26.893138885498047,33.993288593194194,1,1,0,26.701927185058594,35.79912583532962,1,1,0,26.85093879699707,36.32080433241638,1,1,0
21,1748167401.5362618,26.30901336669922,34.159375915069006,1,0,0,25.355815887451172,35.95213897930256,1,0,0,26.638031005859375,36.376565646371674,0,0,0
22,1748167401.6166131,27.15015411376953,34.270050249292616,1,1,1,26.206016540527344,36.04425639776357,1,1,1,26.929855346679688,36.41078528395576,0,1,0
23,1748167401.698997,26.84807777404785,34.386270263955346,1,1,0,26.849985122680664,36.09438160186253,1,1,0,26.044368743896484,36.49103595478247,1,1,0
24,1748167401.780799,27.10890769958496,34.481300388457875,1,1,0,26.46803855895996,36.16033679610566,1,1,0,26.134014129638672,36.56025851476739,1,1,0
