frame_number,timestamp,left_hand_raised,right_hand_raised,dwell_stay_duration,dwell_is_long_stay,dwell_state,dwell_confidence,dwell_hip_center_x,dwell_hip_center_y,dwell_alert
0,0.000,False,False,0.000,False,STAYING,0.999,534.8,571.7,
1,0.042,False,False,0.042,False,STAYING,0.999,531.5,589.0,
2,0.083,False,False,0.083,False,STAYING,0.999,520.3,601.9,
3,0.125,False,False,0.125,False,STAYING,0.999,526.9,582.8,
4,0.167,False,False,0.167,False,STAYING,0.998,527.3,582.3,
5,0.208,False,False,0.208,False,STAYING,0.998,528.6,590.2,
6,0.250,False,False,0.250,False,STAYING,0.998,532.7,588.8,
7,0.292,False,False,0.292,False,STAYING,0.998,536.1,580.9,
8,0.333,False,False,0.333,False,STAYING,0.998,535.8,581.2,
9,0.375,False,False,0.375,False,STAYING,0.998,534.8,586.4,
10,0.417,False,False,0.417,False,STAYING,0.998,530.3,590.5,
11,0.459,False,False,0.459,False,STAYING,0.998,529.6,589.5,
12,0.500,False,False,0.500,False,STAYING,0.998,540.0,575.2,
13,0.542,False,False,0.542,False,STAYING,0.998,539.3,575.0,
14,0.584,False,False,0.584,False,STAYING,0.998,541.5,574.7,
15,0.625,False,False,0.625,False,STAYING,0.998,540.3,576.5,
16,0.667,False,False,0.667,False,STAYING,0.998,539.5,577.2,
17,0.709,False,False,0.709,False,STAYING,0.998,538.6,578.2,
18,0.750,False,False,0.750,False,STAYING,0.998,538.1,579.7,
19,0.792,False,False,0.792,False,STAYING,0.997,529.9,592.4,
20,0.834,False,False,0.834,False,STAYING,0.997,528.7,592.1,
21,0.875,False,False,0.875,False,STAYING,0.997,533.3,589.9,
22,0.917,False,False,0.917,False,STAYING,0.997,534.8,589.2,
23,0.959,False,False,0.959,False,STAYING,0.997,539.0,583.3,
24,1.000,False,False,1.000,False,STAYING,0.997,532.4,596.9,
25,1.042,False,False,1.042,False,STAYING,0.997,538.6,583.1,
26,1.084,False,False,1.084,False,STAYING,0.997,538.8,582.9,
27,1.125,False,False,1.125,False,STAYING,0.997,539.1,583.3,
28,1.167,False,False,1.167,False,STAYING,0.997,540.9,580.9,
29,1.209,False,False,1.209,False,STAYING,0.997,543.3,578.5,
30,1.251,False,False,1.251,False,STAYING,0.997,543.5,578.6,
31,1.292,False,False,1.292,False,STAYING,0.997,534.1,598.3,
32,1.334,False,False,1.334,False,STAYING,0.997,534.1,595.2,
33,1.376,False,False,1.376,False,STAYING,0.998,533.0,592.5,
34,1.417,False,False,1.417,False,STAYING,0.997,535.7,586.9,
35,1.459,False,False,1.459,False,STAYING,0.997,536.4,586.2,
36,1.501,False,False,1.501,False,STAYING,0.997,536.5,586.4,
37,1.542,False,False,1.542,False,STAYING,0.997,536.1,587.1,
38,1.584,False,False,1.584,False,STAYING,0.998,535.8,587.2,
39,1.626,False,False,1.626,False,STAYING,0.998,534.6,587.5,
40,1.667,False,False,1.667,False,STAYING,0.998,534.9,586.5,
41,1.709,False,False,1.709,False,STAYING,0.998,534.6,586.4,
42,1.751,False,False,1.751,False,STAYING,0.998,534.1,586.9,
43,1.792,False,False,1.792,False,STAYING,0.998,534.7,586.8,
44,1.834,False,False,1.834,False,STAYING,0.998,535.4,586.7,
45,1.876,False,False,1.876,False,STAYING,0.998,534.9,587.8,
46,1.917,False,False,1.917,False,STAYING,0.998,534.6,587.9,
47,1.959,False,False,1.959,False,STAYING,0.998,534.6,588.0,
48,2.001,False,False,2.001,False,STAYING,0.998,533.0,589.2,
49,2.043,False,False,2.043,False,STAYING,0.998,536.5,587.6,
50,2.084,False,False,0.000,False,STAYING,0.000,536.5,587.6,
51,2.126,False,False,0.042,False,STAYING,0.996,894.4,648.2,
52,2.168,False,False,0.083,False,STAYING,0.996,887.4,647.3,
53,2.209,False,False,0.125,False,STAYING,0.996,878.7,641.1,
54,2.251,False,False,0.167,False,STAYING,0.995,873.8,633.5,
55,2.293,False,False,0.208,False,STAYING,0.994,868.6,627.8,
56,2.334,False,False,0.250,False,STAYING,0.994,867.0,621.1,
57,2.376,False,False,0.292,False,STAYING,0.993,865.5,616.1,
58,2.418,False,False,0.333,False,STAYING,0.993,864.3,608.3,
59,2.459,False,False,0.375,False,STAYING,0.992,863.4,603.7,
60,2.501,False,False,0.417,False,STAYING,0.992,862.0,599.0,
61,2.543,False,False,0.459,False,STAYING,0.991,860.1,594.6,
62,2.584,False,False,0.500,False,STAYING,0.991,858.6,589.6,
63,2.626,False,False,0.542,False,STAYING,0.991,858.7,587.2,
64,2.668,False,False,0.584,False,STAYING,0.992,857.9,580.1,
65,2.709,False,False,0.625,False,STAYING,0.992,857.7,573.7,
66,2.751,False,False,0.667,False,STAYING,0.992,857.2,569.3,
67,2.793,False,False,0.709,False,STAYING,0.992,857.1,560.9,
68,2.835,False,False,0.750,False,STAYING,0.992,856.7,549.4,
69,2.876,False,False,0.792,False,STAYING,0.992,855.6,540.7,
70,2.918,False,False,0.834,False,STAYING,0.993,854.8,537.3,
71,2.960,False,False,0.875,False,STAYING,0.993,852.3,535.1,
72,3.001,False,False,0.917,False,STAYING,0.994,850.8,536.2,
73,3.043,False,False,0.959,False,STAYING,0.994,848.7,535.4,
74,3.085,False,False,1.000,False,STAYING,0.995,846.3,534.1,
75,3.126,False,False,1.042,False,STAYING,0.995,843.3,533.5,
76,3.168,False,False,1.084,False,STAYING,0.995,840.5,532.3,
77,3.210,False,False,1.125,False,STAYING,0.996,837.7,530.6,
78,3.251,False,False,1.167,False,STAYING,0.996,832.9,528.2,
79,3.293,False,False,1.209,False,STAYING,0.996,828.8,523.5,
80,3.335,False,False,1.251,False,STAYING,0.996,825.8,521.8,
81,3.376,False,False,1.292,False,STAYING,0.997,822.8,520.4,
82,3.418,False,False,1.334,False,STAYING,0.997,821.5,516.4,
83,3.460,False,False,1.376,False,STAYING,0.997,821.1,511.4,
84,3.501,False,False,1.417,False,STAYING,0.998,819.6,508.6,
85,3.543,False,False,1.459,False,STAYING,0.998,819.1,506.4,
86,3.585,False,False,1.501,False,STAYING,0.998,818.1,506.4,
87,3.627,False,False,1.542,False,STAYING,0.998,817.6,506.4,
88,3.668,False,False,1.584,False,STAYING,0.998,816.9,507.3,
89,3.710,False,False,1.626,False,STAYING,0.998,816.9,506.2,
90,3.752,False,False,1.667,False,STAYING,0.999,817.1,504.9,
91,3.793,False,False,1.709,False,STAYING,0.999,817.0,501.9,
92,3.835,False,False,1.751,False,STAYING,0.999,817.5,499.6,
93,3.877,False,False,1.792,False,STAYING,0.999,818.6,495.7,
94,3.918,False,False,1.834,False,STAYING,0.999,819.2,494.2,
95,3.960,False,False,1.876,False,STAYING,0.999,819.9,491.7,
96,4.002,False,False,1.917,False,STAYING,0.999,820.4,487.7,
97,4.043,False,False,1.959,False,STAYING,0.999,820.4,486.6,
98,4.085,False,False,2.001,False,STAYING,0.999,820.5,484.4,
99,4.127,False,False,2.043,False,STAYING,0.999,820.1,482.9,
100,4.168,False,False,2.084,False,STAYING,0.999,819.7,481.7,
101,4.210,False,False,2.126,False,STAYING,0.999,819.3,480.8,
102,4.252,False,False,2.168,False,STAYING,0.999,818.8,480.0,
103,4.293,False,False,2.209,False,STAYING,0.999,818.3,478.6,
104,4.335,False,False,2.251,False,STAYING,0.999,817.4,476.4,
105,4.377,False,False,2.293,False,STAYING,0.999,815.7,475.5,
106,4.419,False,False,2.334,False,STAYING,0.999,813.9,474.8,
107,4.460,False,False,2.376,False,STAYING,0.999,811.1,475.0,
108,4.502,False,False,2.418,False,STAYING,0.999,808.9,475.5,
109,4.544,False,False,2.459,False,STAYING,0.999,806.6,474.3,
110,4.585,False,False,2.501,False,STAYING,0.999,803.9,473.2,
111,4.627,False,False,2.543,False,STAYING,0.999,802.6,472.0,
112,4.669,False,False,2.584,False,STAYING,0.999,801.6,471.2,
113,4.710,False,False,2.626,False,STAYING,0.999,800.2,471.1,
114,4.752,False,False,2.668,False,STAYING,0.999,798.9,470.6,
115,4.794,False,False,2.709,False,STAYING,0.999,797.5,469.3,
116,4.835,False,False,2.751,False,STAYING,0.999,796.0,468.5,
117,4.877,False,False,2.793,False,STAYING,0.999,794.8,468.5,
118,4.919,False,False,2.835,False,STAYING,0.999,793.9,468.0,
119,4.960,False,False,2.876,False,STAYING,0.999,793.2,467.9,
120,5.002,False,False,2.918,False,STAYING,0.999,792.2,468.2,
121,5.044,False,False,2.960,False,STAYING,0.998,790.6,468.3,
122,5.085,False,False,3.001,False,STAYING,0.998,789.9,468.9,
123,5.127,False,False,3.043,False,STAYING,0.998,789.1,469.8,
124,5.169,False,False,3.085,False,STAYING,0.998,788.6,470.8,
125,5.211,False,False,3.126,False,STAYING,0.998,787.7,470.8,
126,5.252,False,False,3.168,False,STAYING,0.998,787.1,469.7,
127,5.294,False,False,3.210,False,STAYING,0.998,786.3,468.8,
128,5.336,False,False,3.251,False,STAYING,0.998,785.3,467.7,
129,5.377,False,False,3.293,False,STAYING,0.998,784.6,466.7,
130,5.419,False,False,3.335,False,STAYING,0.998,784.0,465.7,
131,5.461,False,False,3.376,False,STAYING,0.998,783.9,465.1,
132,5.502,False,False,3.418,False,STAYING,0.998,783.9,465.2,
133,5.544,False,False,3.460,False,STAYING,0.998,783.7,465.0,
134,5.586,False,False,3.501,False,STAYING,0.998,783.7,464.6,
135,5.627,False,False,3.543,False,STAYING,0.998,783.8,464.1,
136,5.669,False,False,3.585,False,STAYING,0.998,784.0,463.6,
137,5.711,False,False,3.627,False,STAYING,0.998,784.0,463.5,
138,5.752,False,False,3.668,False,STAYING,0.998,784.1,463.6,
139,5.794,False,False,3.710,False,STAYING,0.998,784.1,463.9,
140,5.836,False,False,3.752,False,STAYING,0.998,784.1,463.9,
141,5.877,False,False,3.793,False,STAYING,0.998,784.2,464.0,
142,5.919,False,False,3.835,False,STAYING,0.998,784.3,463.6,
143,5.961,False,False,3.877,False,STAYING,0.998,784.2,463.6,
144,6.003,False,False,3.918,False,STAYING,0.998,783.7,463.5,
145,6.044,False,False,3.960,False,STAYING,0.998,783.4,463.5,
146,6.086,False,False,4.002,False,STAYING,0.998,783.4,463.5,
147,6.128,False,False,4.043,False,STAYING,0.998,783.6,463.5,
