frame_number,timestamp,left_hand_raised,right_hand_raised
0,0.000,False,False
1,0.042,False,False
2,0.083,False,False
3,0.125,False,False
4,0.167,False,False
5,0.208,False,False
6,0.250,False,False
7,0.292,False,False
8,0.333,False,False
9,0.375,False,False
10,0.417,False,False
11,0.459,False,False
12,0.500,False,False
13,0.542,False,False
14,0.584,False,False
15,0.625,False,False
16,0.667,False,False
17,0.709,False,False
18,0.750,False,False
19,0.792,False,False
20,0.834,False,False
21,0.875,False,False
22,0.917,False,False
23,0.959,False,False
24,1.000,False,False
25,1.042,False,False
26,1.084,False,False
27,1.125,False,False
28,1.167,False,False
29,1.209,False,False
30,1.250,False,False
31,1.292,False,False
32,1.334,False,False
33,1.376,False,False
34,1.417,False,False
35,1.459,False,False
36,1.501,False,False
37,1.542,False,False
38,1.584,False,False
39,1.626,False,False
40,1.667,False,False
41,1.709,False,False
42,1.751,False,False
43,1.792,False,False
44,1.834,False,False
45,1.876,False,False
46,1.917,False,False
47,1.959,False,False
48,2.001,False,False
49,2.042,False,False
50,2.084,False,False
51,2.126,False,False
52,2.168,False,False
53,2.209,False,False
54,2.251,False,False
55,2.293,False,False
56,2.334,False,False
57,2.376,False,False
58,2.418,False,False
59,2.459,False,False
60,2.501,False,False
61,2.543,False,False
62,2.584,False,False
63,2.626,False,False
64,2.668,False,False
65,2.709,False,False
66,2.751,False,False
67,2.793,False,False
68,2.834,False,False
69,2.876,False,False
70,2.918,False,False
71,2.960,False,False
72,3.001,False,False
73,3.043,False,False
74,3.085,False,False
75,3.126,False,False
76,3.168,False,False
77,3.210,False,False
78,3.251,False,False
79,3.293,False,False
80,3.335,False,False
81,3.376,False,False
82,3.418,False,False
83,3.460,False,False
84,3.501,False,False
85,3.543,False,False
86,3.585,False,False
87,3.626,False,False
88,3.668,False,False
89,3.710,False,False
90,3.751,False,False
91,3.793,False,False
92,3.835,False,False
93,3.877,False,False
94,3.918,False,False
95,3.960,False,False
96,4.002,False,False
97,4.043,False,False
98,4.085,False,False
99,4.127,False,False
100,4.168,False,False
101,4.210,False,False
102,4.252,False,False
103,4.293,False,False
104,4.335,False,False
105,4.377,False,False
106,4.418,False,False
107,4.460,False,False
108,4.502,False,False
109,4.543,False,False
110,4.585,False,False
111,4.627,False,False
112,4.669,False,False
113,4.710,False,False
114,4.752,False,False
115,4.794,False,False
116,4.835,False,False
117,4.877,False,False
118,4.919,False,False
119,4.960,False,False
120,5.002,False,False
121,5.044,False,False
122,5.085,False,False
123,5.127,False,False
124,5.169,False,False
125,5.210,False,False
126,5.252,False,False
127,5.294,False,False
128,5.335,False,False
129,5.377,False,False
130,5.419,False,False
131,5.460,False,False
132,5.502,False,False
133,5.544,False,False
134,5.586,False,False
135,5.627,False,False
136,5.669,False,False
137,5.711,False,False
138,5.752,False,False
139,5.794,False,False
140,5.836,False,False
141,5.877,False,False
142,5.919,False,False
143,5.961,False,False
144,6.002,False,False
145,6.044,False,False
146,6.086,False,False
147,6.127,False,False
148,6.169,False,False
149,6.211,False,False
150,6.252,False,False
151,6.294,False,False
152,6.336,False,False
153,6.378,False,False
154,6.419,False,False
155,6.461,False,False
156,6.503,False,False
157,6.544,False,False
158,6.586,False,False
159,6.628,False,False
160,6.669,False,False
161,6.711,False,False
162,6.753,False,False
163,6.794,False,False
164,6.836,False,False
165,6.878,False,False
166,6.919,False,False
167,6.961,False,False
168,7.003,False,False
169,7.044,False,False
170,7.086,False,False
171,7.128,False,False
172,7.169,False,False
173,7.211,False,False
174,7.253,False,False
175,7.295,False,False
176,7.336,False,False
177,7.378,False,False
178,7.420,False,False
179,7.461,False,False
180,7.503,False,False
181,7.545,False,False
182,7.586,False,False
183,7.628,False,False
184,7.670,False,False
185,7.711,True,False
186,7.753,True,False
187,7.795,True,False
188,7.836,True,False
189,7.878,True,False
190,7.920,True,False
191,7.961,True,False
192,8.003,True,False
193,8.045,True,False
194,8.087,True,False
195,8.128,True,False
196,8.170,True,False
197,8.212,True,False
198,8.253,True,False
199,8.295,True,False
200,8.337,True,False
201,8.378,True,False
202,8.420,True,False
203,8.462,True,False
204,8.503,True,False
205,8.545,True,False
206,8.587,True,False
207,8.628,True,False
208,8.670,True,False
209,8.712,True,False
210,8.753,True,False
211,8.795,True,False
212,8.837,True,False
213,8.879,True,False
214,8.920,True,False
215,8.962,True,False
