frame_number,timestamp,left_hand_raised,right_hand_raised,dwell_stay_duration,dwell_is_long_stay,dwell_state,dwell_confidence,dwell_hip_center_x,dwell_hip_center_y,dwell_alert
0,0.000,False,False,0.000,False,STAYING,0.000,,,
1,0.042,False,False,0.000,False,STAYING,0.000,,,
2,0.083,False,False,0.000,False,STAYING,0.000,,,
3,0.125,False,False,0.000,False,STAYING,0.000,,,
4,0.167,False,False,0.000,False,STAYING,0.000,,,
5,0.208,False,False,0.000,False,STAYING,0.000,,,
6,0.250,False,False,0.000,False,STAYING,0.000,,,
7,0.292,False,False,0.000,False,STAYING,0.000,,,
8,0.333,False,False,0.000,False,STAYING,0.000,,,
9,0.375,False,False,0.000,False,STAYING,0.000,,,
10,0.417,False,False,0.000,False,STAYING,0.000,,,
11,0.459,False,False,0.000,False,STAYING,0.000,,,
12,0.500,False,False,0.000,False,STAYING,0.000,,,
13,0.542,False,False,0.000,False,STAYING,0.000,,,
14,0.584,False,False,0.000,False,STAYING,0.000,,,
15,0.625,False,False,0.000,False,STAYING,0.000,,,
16,0.667,False,False,0.000,False,STAYING,0.000,,,
17,0.709,False,False,0.000,False,STAYING,0.000,,,
18,0.750,False,False,0.000,False,STAYING,0.000,,,
19,0.792,False,False,0.000,False,STAYING,0.000,,,
20,0.834,False,False,0.000,False,STAYING,0.000,,,
21,0.875,False,False,0.000,False,STAYING,0.000,,,
22,0.917,False,False,0.000,False,STAYING,1.000,434.7,500.1,
23,0.959,False,False,0.000,False,STAYING,0.000,434.7,500.1,
24,1.000,False,False,0.000,False,STAYING,0.000,434.7,500.1,
25,1.042,False,False,0.000,False,STAYING,0.000,434.7,500.1,
26,1.084,False,False,0.042,False,STAYING,0.900,1338.6,1245.9,
27,1.125,False,False,0.083,False,STAYING,0.811,1250.0,1228.7,
28,1.167,False,False,0.125,False,STAYING,0.730,1152.5,1220.0,
29,1.209,False,False,0.167,False,STAYING,0.657,1105.0,1205.0,
30,1.251,False,False,0.208,False,STAYING,0.592,1080.3,1178.6,
31,1.292,False,False,0.250,False,STAYING,0.535,1050.5,1162.3,
32,1.334,False,False,0.000,False,STAYING,0.000,1050.5,1162.3,
33,1.376,False,False,0.000,False,STAYING,0.000,1050.5,1162.3,
34,1.417,False,False,0.000,False,STAYING,0.000,1050.5,1162.3,
35,1.459,False,False,0.000,False,STAYING,0.000,1050.5,1162.3,
36,1.501,False,False,0.000,False,STAYING,0.000,1050.5,1162.3,
37,1.542,False,False,0.000,False,STAYING,0.000,1050.5,1162.3,
38,1.584,False,False,0.000,False,STAYING,0.000,1050.5,1162.3,
39,1.626,False,False,0.000,False,STAYING,0.000,1050.5,1162.3,
40,1.667,False,False,0.000,False,STAYING,0.000,1050.5,1162.3,
41,1.709,False,False,0.000,False,STAYING,0.000,1050.5,1162.3,
42,1.751,False,False,0.000,False,STAYING,0.000,1050.5,1162.3,
43,1.792,False,False,0.000,False,STAYING,0.000,1050.5,1162.3,
44,1.834,False,False,0.000,False,STAYING,0.000,1050.5,1162.3,
45,1.876,False,False,0.000,False,STAYING,0.000,1050.5,1162.3,
46,1.917,False,False,0.042,False,STAYING,0.502,703.2,711.7,
47,1.959,False,False,0.042,False,POTENTIAL_MOVE,0.522,728.0,724.0,
48,2.001,False,False,0.042,False,POTENTIAL_MOVE,0.555,726.8,696.5,
49,2.043,False,False,0.042,False,POTENTIAL_MOVE,0.591,718.5,677.6,
50,2.084,False,False,0.042,False,POTENTIAL_MOVE,0.621,709.4,679.1,
51,2.126,False,False,0.042,False,POTENTIAL_MOVE,0.650,705.7,666.9,
52,2.168,False,False,0.042,False,POTENTIAL_MOVE,0.673,700.2,644.6,
53,2.209,False,False,0.042,False,POTENTIAL_MOVE,0.698,690.8,638.9,
54,2.251,False,False,0.042,False,POTENTIAL_MOVE,0.715,677.0,639.5,
55,2.293,False,False,0.042,False,POTENTIAL_MOVE,0.737,670.7,615.8,
56,2.334,False,False,0.042,False,POTENTIAL_MOVE,0.762,675.9,611.6,
57,2.376,False,False,0.042,False,POTENTIAL_MOVE,0.785,675.2,598.4,
58,2.418,False,False,0.042,False,POTENTIAL_MOVE,0.806,675.6,583.5,
59,2.459,False,False,0.042,False,POTENTIAL_MOVE,0.825,679.9,577.2,
60,2.501,False,False,0.042,False,POTENTIAL_MOVE,0.842,672.0,572.4,
61,2.543,False,False,0.042,False,POTENTIAL_MOVE,0.858,674.7,570.2,
62,2.584,False,False,0.042,False,POTENTIAL_MOVE,0.872,672.8,563.7,
63,2.626,False,False,0.042,False,POTENTIAL_MOVE,0.885,672.6,564.0,
64,2.668,False,False,0.042,False,POTENTIAL_MOVE,0.896,672.3,558.1,
65,2.710,False,False,0.042,False,POTENTIAL_MOVE,0.906,672.1,554.1,
66,2.751,False,False,0.042,False,POTENTIAL_MOVE,0.916,672.7,547.5,
67,2.793,False,False,0.042,False,POTENTIAL_MOVE,0.924,673.2,542.8,
68,2.835,False,False,0.042,False,POTENTIAL_MOVE,0.932,673.6,538.9,
69,2.876,False,False,0.042,False,POTENTIAL_MOVE,0.938,674.2,534.6,
70,2.918,False,False,0.042,False,POTENTIAL_MOVE,0.944,674.3,529.2,
71,2.960,False,False,0.042,False,POTENTIAL_MOVE,0.950,674.4,526.8,
72,3.001,False,False,0.042,False,POTENTIAL_MOVE,0.955,674.2,525.0,
73,3.043,False,False,0.042,False,POTENTIAL_MOVE,0.959,673.9,523.2,
74,3.085,False,False,0.042,False,POTENTIAL_MOVE,0.963,673.7,521.6,
75,3.126,False,False,0.042,False,POTENTIAL_MOVE,0.967,673.7,519.7,
76,3.168,False,False,0.042,False,POTENTIAL_MOVE,0.970,673.3,519.6,
77,3.210,False,False,0.042,False,POTENTIAL_MOVE,0.973,672.5,518.4,
78,3.251,False,False,0.042,False,POTENTIAL_MOVE,0.975,671.6,517.1,
79,3.293,False,False,0.042,False,POTENTIAL_MOVE,0.978,671.3,512.1,
80,3.335,False,False,0.042,False,POTENTIAL_MOVE,0.980,670.7,507.8,
81,3.376,False,False,0.042,False,POTENTIAL_MOVE,0.982,669.9,504.1,
82,3.418,False,False,0.042,False,POTENTIAL_MOVE,0.984,669.4,500.8,
83,3.460,False,False,0.000,False,STAYING,0.985,669.5,497.9,[!] Movement Confirmed
84,3.502,False,False,0.000,False,POTENTIAL_MOVE,0.987,669.9,494.5,
85,3.543,False,False,0.000,False,POTENTIAL_MOVE,0.988,670.3,492.9,
86,3.585,False,False,0.000,False,POTENTIAL_MOVE,0.989,670.4,491.1,
87,3.627,False,False,0.000,False,POTENTIAL_MOVE,0.990,670.6,489.4,
88,3.668,False,False,0.000,False,POTENTIAL_MOVE,0.991,671.0,488.6,
89,3.710,False,False,0.000,False,POTENTIAL_MOVE,0.992,671.5,488.0,
90,3.752,False,False,0.000,False,POTENTIAL_MOVE,0.993,672.0,487.6,
91,3.793,False,False,0.000,False,POTENTIAL_MOVE,0.994,673.7,486.5,
92,3.835,False,False,0.000,False,POTENTIAL_MOVE,0.994,676.0,483.3,
93,3.877,False,False,0.000,False,POTENTIAL_MOVE,0.995,677.6,480.8,
94,3.918,False,False,0.000,False,POTENTIAL_MOVE,0.995,680.0,477.8,
95,3.960,False,False,0.000,False,POTENTIAL_MOVE,0.996,681.3,474.5,
96,4.002,False,False,0.000,False,POTENTIAL_MOVE,0.996,682.6,473.6,
97,4.043,False,False,0.000,False,POTENTIAL_MOVE,0.997,683.0,472.2,
98,4.085,False,False,0.000,False,POTENTIAL_MOVE,0.997,683.6,471.3,
99,4.127,False,False,0.000,False,POTENTIAL_MOVE,0.997,683.8,470.4,
100,4.168,False,False,0.000,False,POTENTIAL_MOVE,0.997,683.9,469.9,
101,4.210,False,False,0.000,False,POTENTIAL_MOVE,0.998,684.4,469.2,
102,4.252,False,False,0.000,False,POTENTIAL_MOVE,0.998,684.5,468.8,
103,4.294,False,False,0.000,False,POTENTIAL_MOVE,0.998,684.7,468.9,
104,4.335,False,False,0.000,False,POTENTIAL_MOVE,0.998,684.6,469.2,
105,4.377,False,False,0.000,False,POTENTIAL_MOVE,0.998,684.5,469.4,
106,4.419,False,False,0.000,False,POTENTIAL_MOVE,0.998,684.3,468.8,
107,4.460,False,False,0.000,False,POTENTIAL_MOVE,0.998,683.8,466.6,
108,4.502,False,False,0.000,False,POTENTIAL_MOVE,0.999,682.7,464.4,
109,4.544,False,False,0.000,False,POTENTIAL_MOVE,0.999,681.9,462.9,
110,4.585,False,False,0.000,False,POTENTIAL_MOVE,0.999,681.7,460.7,
111,4.627,False,False,0.000,False,POTENTIAL_MOVE,0.999,681.6,458.9,
112,4.669,False,False,0.000,False,POTENTIAL_MOVE,0.999,681.6,457.7,
113,4.710,False,False,0.000,False,POTENTIAL_MOVE,0.999,681.6,456.2,
114,4.752,False,False,0.000,False,POTENTIAL_MOVE,0.999,681.6,456.1,
115,4.794,False,False,0.000,False,POTENTIAL_MOVE,0.999,681.5,455.4,
116,4.835,False,False,0.000,False,POTENTIAL_MOVE,0.999,681.5,454.2,
117,4.877,False,False,0.000,False,POTENTIAL_MOVE,0.999,681.8,453.6,
118,4.919,False,False,0.000,False,POTENTIAL_MOVE,0.999,682.5,453.5,
119,4.960,False,False,0.000,False,POTENTIAL_MOVE,0.999,683.5,453.7,
120,5.002,False,False,0.000,False,STAYING,0.999,684.7,453.9,[!] Movement Confirmed
121,5.044,False,False,0.042,False,STAYING,0.999,685.9,453.6,
122,5.086,False,False,0.083,False,STAYING,1.000,687.1,453.3,
123,5.127,False,False,0.125,False,STAYING,1.000,688.2,452.8,
124,5.169,False,False,0.167,False,STAYING,1.000,689.0,451.9,
125,5.211,False,False,0.208,False,STAYING,1.000,689.8,451.6,
126,5.252,False,False,0.250,False,STAYING,1.000,690.3,451.4,
127,5.294,False,False,0.292,False,STAYING,1.000,691.1,451.3,
128,5.336,False,False,0.333,False,STAYING,1.000,691.5,450.8,
129,5.377,False,False,0.375,False,STAYING,1.000,691.7,450.6,
130,5.419,False,False,0.417,False,STAYING,1.000,691.9,450.4,
131,5.461,False,False,0.459,False,STAYING,1.000,692.2,450.5,
132,5.502,False,False,0.500,False,STAYING,1.000,692.1,450.5,
133,5.544,False,False,0.542,False,STAYING,1.000,692.0,450.4,
134,5.586,False,False,0.584,False,STAYING,1.000,692.0,450.3,
135,5.627,False,False,0.625,False,STAYING,1.000,691.9,450.2,
136,5.669,False,False,0.667,False,STAYING,1.000,691.9,450.2,
137,5.711,False,False,0.709,False,STAYING,1.000,691.8,450.2,
138,5.752,False,False,0.750,False,STAYING,1.000,691.6,450.2,
139,5.794,False,False,0.792,False,STAYING,1.000,691.5,450.2,
140,5.836,False,False,0.834,False,STAYING,1.000,691.4,450.4,
141,5.878,False,False,0.875,False,STAYING,1.000,691.2,450.4,
142,5.919,False,False,0.917,False,STAYING,1.000,690.7,450.3,
143,5.961,False,False,0.959,False,STAYING,1.000,690.4,450.3,
144,6.003,False,False,1.000,False,STAYING,1.000,689.6,450.5,
145,6.044,False,False,1.042,False,STAYING,1.000,688.9,450.4,
146,6.086,False,False,1.084,False,STAYING,1.000,688.2,450.4,
147,6.128,False,False,1.125,False,STAYING,1.000,687.8,450.3,
148,6.169,False,False,1.167,False,STAYING,1.000,687.5,450.4,
149,6.211,False,False,1.209,False,STAYING,1.000,687.0,450.5,
150,6.253,False,False,1.251,False,STAYING,1.000,686.4,450.5,
151,6.294,False,False,1.292,False,STAYING,0.999,686.0,450.5,
152,6.336,False,False,1.334,False,STAYING,0.999,685.5,450.6,
153,6.378,False,False,1.376,False,STAYING,0.999,685.1,450.7,
154,6.419,False,False,1.417,False,STAYING,0.999,684.6,450.7,
155,6.461,False,False,1.459,False,STAYING,0.999,684.0,450.6,
156,6.503,False,False,1.501,False,STAYING,0.999,683.5,450.6,
157,6.545,False,False,1.542,False,STAYING,0.999,683.2,450.5,
158,6.586,False,False,1.584,False,STAYING,0.999,683.2,450.5,
159,6.628,False,False,1.626,False,STAYING,0.999,683.0,450.5,
160,6.670,False,False,1.667,False,STAYING,0.999,682.8,450.5,
161,6.711,False,False,1.709,False,STAYING,0.999,682.5,450.4,
162,6.753,False,False,1.751,False,STAYING,0.999,682.2,450.2,
163,6.795,False,False,1.792,False,STAYING,0.999,681.8,450.1,
164,6.836,False,False,1.834,False,STAYING,0.999,681.3,450.0,
165,6.878,False,False,1.876,False,STAYING,0.999,680.9,449.9,
166,6.920,False,False,1.917,False,STAYING,0.999,680.6,449.7,
167,6.961,False,False,1.959,False,STAYING,0.999,680.4,449.5,
168,7.003,False,False,2.001,False,STAYING,0.999,680.3,449.5,
169,7.045,False,False,2.043,False,STAYING,0.999,680.2,449.5,
170,7.086,False,False,2.084,False,STAYING,0.999,680.0,449.3,
171,7.128,False,False,2.126,False,STAYING,0.999,679.9,449.2,
172,7.170,False,False,2.168,False,STAYING,0.999,679.8,449.2,
173,7.211,False,False,2.209,False,STAYING,1.000,679.8,449.1,
174,7.253,False,False,2.251,False,STAYING,1.000,679.7,448.9,
175,7.295,False,False,2.293,False,STAYING,1.000,679.7,448.8,
176,7.337,False,False,2.334,False,STAYING,1.000,679.7,448.8,
177,7.378,False,False,2.376,False,STAYING,1.000,679.7,448.8,
178,7.420,False,False,2.418,False,STAYING,1.000,679.8,448.7,
179,7.462,False,False,2.459,False,STAYING,1.000,679.9,448.7,
180,7.503,False,False,2.501,False,STAYING,1.000,680.1,448.7,
181,7.545,False,False,2.543,False,STAYING,1.000,680.3,448.4,
182,7.587,False,False,2.584,False,STAYING,1.000,680.7,447.8,
183,7.628,False,False,2.626,False,STAYING,1.000,680.9,447.7,
184,7.670,False,False,2.668,False,STAYING,1.000,681.2,447.8,
185,7.712,False,False,2.710,False,STAYING,0.999,681.4,447.9,
186,7.753,False,False,2.751,False,STAYING,0.999,681.8,448.7,
187,7.795,False,False,2.793,False,STAYING,0.999,682.2,449.0,
188,7.837,False,False,2.835,False,STAYING,0.999,682.7,449.2,
189,7.878,False,False,2.876,False,STAYING,0.999,683.1,449.5,
190,7.920,False,False,2.918,False,STAYING,0.999,683.6,450.1,
191,7.962,False,False,2.960,False,STAYING,0.999,684.1,450.1,
192,8.003,False,False,3.001,False,STAYING,0.999,684.6,450.3,
193,8.045,False,False,3.043,False,STAYING,0.999,685.1,450.3,
194,8.087,False,False,3.085,False,STAYING,0.999,685.6,450.4,
195,8.129,False,False,3.126,False,STAYING,0.999,686.3,450.4,
196,8.170,False,False,3.168,False,STAYING,0.999,686.8,450.4,
197,8.212,False,False,3.210,False,STAYING,0.999,687.4,450.4,
198,8.254,False,False,3.251,False,STAYING,0.999,688.0,450.2,
199,8.295,False,False,3.293,False,STAYING,0.999,688.5,450.1,
200,8.337,False,False,3.335,False,STAYING,0.999,689.0,450.0,
201,8.379,False,False,3.376,False,STAYING,0.999,689.4,449.9,
202,8.420,False,False,3.418,False,STAYING,0.999,689.7,449.9,
203,8.462,False,False,3.460,False,STAYING,0.999,690.1,449.7,
204,8.504,False,False,3.502,False,STAYING,0.999,690.1,449.5,
205,8.545,False,False,3.543,False,STAYING,0.999,690.1,449.5,
206,8.587,False,False,3.585,False,STAYING,0.999,690.4,449.5,
207,8.629,False,False,3.627,False,STAYING,0.999,690.4,449.5,
208,8.670,False,False,3.668,False,STAYING,0.999,690.4,449.5,
209,8.712,False,False,3.710,False,STAYING,1.000,690.5,449.5,
210,8.754,False,False,3.752,False,STAYING,1.000,690.6,449.6,
211,8.795,False,False,3.793,False,STAYING,1.000,690.6,449.7,
212,8.837,False,False,3.835,False,STAYING,1.000,690.9,449.6,
213,8.879,False,False,3.877,False,STAYING,1.000,690.9,449.7,
214,8.921,False,False,3.918,False,STAYING,0.999,690.7,449.6,
215,8.962,False,False,3.960,False,STAYING,0.999,690.5,449.5,
216,9.004,False,False,4.002,False,STAYING,0.999,690.7,449.3,
217,9.046,False,False,4.043,False,STAYING,0.999,691.0,449.2,
218,9.087,False,False,4.085,False,STAYING,0.999,691.0,449.2,
219,9.129,False,False,4.127,False,STAYING,0.999,691.0,449.1,
220,9.171,False,False,4.168,False,STAYING,0.999,691.2,448.9,
221,9.212,False,False,4.210,False,STAYING,0.999,691.2,448.8,
222,9.254,False,False,4.252,False,STAYING,0.999,691.2,448.7,
