# System Information
# OS,Darwin,Darwin Kernel Version 24.4.0: Fri Apr 11 18:34:14 PDT 2025; root:xnu-11417.101.15~117/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,yolo11n.pt,Size,5.35 MB
# Model Task,detect,Version,unknown
# Tracker,bytetrack
# Device,auto,Half Precision,False,Confidence Threshold,0.3

# Video,data/clips/2025-05-03_152528フロア10minites_30sec.mp4
# Resolution,640x480,FPS,30,Total Frames,900

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,YOLO_Preprocess_ms,YOLO_Inference_ms,YOLO_Postprocess_ms,CUDA_Used,Model,Tracker,Notes
1,0.114,106.7,0.5,107.2,6,6,8.8,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
2,0.321,36.2,1.2,37.4,5,5,6.2,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
3,0.439,100.4,0.6,101.0,5,5,6.8,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
4,0.499,43.9,0.5,44.4,5,5,8.0,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
5,0.559,42.4,0.5,43.0,5,5,8.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
6,0.639,51.4,0.6,52.0,5,5,9.4,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
7,0.714,43.3,0.5,43.8,5,5,9.8,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
8,0.770,39.0,0.5,39.5,5,5,10.4,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
9,0.822,37.0,0.6,37.6,5,5,11.0,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
10,0.877,40.8,0.5,41.3,5,5,11.4,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
11,0.927,36.0,0.5,36.5,5,5,11.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
12,0.976,35.5,0.6,36.0,6,5,12.3,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
13,1.024,33.8,0.7,34.4,6,6,12.7,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
14,1.073,32.9,0.6,33.5,6,6,13.0,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
15,1.122,34.4,0.5,34.9,5,5,13.4,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
16,1.176,39.3,0.5,39.8,5,5,13.6,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
17,1.226,36.5,0.6,37.0,6,5,13.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
18,1.280,39.2,0.7,39.9,7,7,14.1,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
19,1.332,36.6,0.6,37.2,7,7,14.3,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
20,1.386,39.4,0.6,39.9,6,6,14.4,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
21,1.437,37.3,0.7,38.0,7,6,14.6,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
22,1.487,34.6,0.7,35.3,7,7,14.8,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
23,1.537,35.4,0.6,36.1,7,7,15.0,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
24,1.585,33.3,0.7,34.0,8,7,15.1,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
25,1.634,34.2,0.6,34.8,7,7,15.3,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
26,1.685,35.2,0.7,35.9,7,7,15.4,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
27,1.732,33.1,0.6,33.7,6,6,15.6,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
28,1.783,35.9,0.7,36.7,7,7,15.7,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
29,1.833,34.9,0.6,35.6,7,7,15.8,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
30,1.880,33.4,0.6,34.0,6,6,16.0,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
