# System Information
# OS,Darwin,Darwin Kernel Version 24.4.0: Fri Apr 11 18:34:14 PDT 2025; root:xnu-11417.101.15~117/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,models/yolov8n.pt
# Tracker,bytetrack

# Video,data/clips/2025-05-03_152528フロア10minites_30sec.mp4

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Stay_Check_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,Model,Tracker,Notes
# Resolution,640x480,FPS,30.00
# Stay Threshold (s),6.0
# Move Threshold (px),20.0

1,0.126,115.6,0.8,0.0,125.9,17,14,7.9,yolov8n,bytetrack,
2,0.188,55.2,5.4,0.0,61.6,17,14,10.6,yolov8n,bytetrack,
3,0.243,52.5,1.0,0.0,54.4,17,14,12.3,yolov8n,bytetrack,
4,0.296,51.1,1.0,0.0,53.0,17,14,13.5,yolov8n,bytetrack,
5,0.350,52.0,1.1,0.0,53.9,17,14,14.3,yolov8n,bytetrack,
6,0.405,52.1,1.0,0.0,54.0,17,14,14.8,yolov8n,bytetrack,
7,0.461,54.2,1.3,0.0,56.4,17,14,15.2,yolov8n,bytetrack,
8,0.520,56.1,1.1,0.0,58.5,17,14,15.4,yolov8n,bytetrack,
9,0.582,59.7,1.1,0.0,61.7,17,14,15.5,yolov8n,bytetrack,
10,0.639,54.9,1.2,0.0,56.9,17,14,15.6,yolov8n,bytetrack,
11,0.697,55.5,1.2,0.0,57.5,17,14,15.8,yolov8n,bytetrack,
12,0.752,52.5,1.1,0.0,54.5,17,14,16.0,yolov8n,bytetrack,
13,0.808,53.7,1.1,0.0,55.6,17,14,16.1,yolov8n,bytetrack,
14,0.861,51.1,1.2,0.0,53.2,17,14,16.3,yolov8n,bytetrack,
15,0.914,50.5,1.0,0.0,52.3,13,11,16.4,yolov8n,bytetrack,
16,0.965,49.5,1.0,0.0,51.4,15,11,16.6,yolov8n,bytetrack,
17,1.017,49.5,1.0,0.0,51.3,16,10,16.7,yolov8n,bytetrack,
18,1.069,49.8,0.9,0.0,51.6,12,9,16.8,yolov8n,bytetrack,
19,1.121,50.8,0.9,0.0,52.3,12,9,16.9,yolov8n,bytetrack,
20,1.175,51.5,1.0,0.0,53.3,14,9,17.0,yolov8n,bytetrack,
21,1.228,50.9,1.1,0.0,52.8,14,9,17.1,yolov8n,bytetrack,
22,1.281,51.1,1.0,0.0,53.0,12,10,17.2,yolov8n,bytetrack,
23,1.335,52.0,1.0,0.0,53.6,14,11,17.2,yolov8n,bytetrack,
24,1.391,53.6,1.0,0.0,55.4,12,9,17.3,yolov8n,bytetrack,
25,1.445,51.7,1.2,0.0,53.8,13,10,17.3,yolov8n,bytetrack,
26,1.507,60.4,1.0,0.0,62.4,14,10,17.2,yolov8n,bytetrack,
27,1.563,53.6,0.9,0.0,55.2,10,9,17.3,yolov8n,bytetrack,
