# System Information
# OS,Darwin,Darwin Kernel Version 24.4.0: Fri Apr 11 18:34:14 PDT 2025; root:xnu-11417.101.15~117/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,models/yolov8n.pt
# Tracker,bytetrack

# Video,data/clips/2025-05-03_152528フロア10minites_30sec.mp4

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Stay_Check_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,Memory_MB,Model,Tracker,Notes
# Resolution,640x480,FPS,30.00
# Stay Threshold (s),6.0
# Move Threshold (px),20.0

1,0.136,125.5,0.8,0.0,135.9,17,14,7.4,571.8,yolov8n,bytetrack,
2,0.193,52.7,2.8,0.0,56.6,17,14,10.3,582.1,yolov8n,bytetrack,
3,0.248,51.8,1.0,0.0,54.0,17,14,12.1,590.1,yolov8n,bytetrack,
4,0.299,49.0,1.1,0.0,51.2,17,14,13.4,595.4,yolov8n,bytetrack,
5,0.353,51.3,1.0,0.0,53.5,17,14,14.2,598.8,yolov8n,bytetrack,
6,0.409,53.5,1.0,0.0,55.8,17,14,14.7,608.8,yolov8n,bytetrack,
7,0.461,49.6,1.1,0.0,51.7,17,14,15.2,611.1,yolov8n,bytetrack,
8,0.517,53.4,1.2,0.0,55.9,17,14,15.5,611.2,yolov8n,bytetrack,
9,0.583,63.8,1.2,0.0,66.2,17,14,15.4,611.3,yolov8n,bytetrack,
10,0.638,51.6,1.5,0.0,54.5,17,14,15.7,611.4,yolov8n,bytetrack,
11,0.692,50.5,1.1,0.0,53.0,17,14,15.9,616.1,yolov8n,bytetrack,
12,0.744,50.5,1.2,0.0,52.7,17,14,16.1,616.1,yolov8n,bytetrack,
13,0.799,52.1,1.1,0.0,54.5,17,14,16.3,616.1,yolov8n,bytetrack,
14,0.853,50.9,1.1,0.0,53.2,17,14,16.4,616.1,yolov8n,bytetrack,
15,0.907,51.9,1.1,0.0,53.9,13,11,16.5,616.1,yolov8n,bytetrack,
16,0.958,49.2,1.0,0.0,51.3,15,11,16.7,618.5,yolov8n,bytetrack,
17,1.012,52.0,1.0,0.0,53.9,16,10,16.8,622.1,yolov8n,bytetrack,
18,1.068,53.4,1.0,0.0,55.3,12,9,16.9,626.8,yolov8n,bytetrack,
19,1.120,50.0,0.9,0.0,51.8,12,9,17.0,626.8,yolov8n,bytetrack,
20,1.181,58.6,1.0,0.0,60.4,14,9,16.9,631.5,yolov8n,bytetrack,
21,1.234,50.3,1.1,0.0,52.6,14,9,17.0,631.5,yolov8n,bytetrack,
22,1.289,52.3,1.1,0.0,54.5,12,10,17.1,631.5,yolov8n,bytetrack,
23,1.343,51.9,1.0,0.0,53.9,14,11,17.1,631.5,yolov8n,bytetrack,
24,1.395,50.3,1.0,0.0,52.3,12,9,17.2,634.8,yolov8n,bytetrack,
