# System Information
# OS,Darwin,Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:23 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,yolo11n.pt,Size,5.35 MB
# Model Task,detect,Version,unknown
# Tracker,boosttrack
# Device,auto,Half Precision,False,Confidence Threshold,0.3

# Video,WIN_20250319_10_03_53_Pro.mp4
# Resolution,1920x1080,FPS,28,Total Frames,1369

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,YOLO_Preprocess_ms,YOLO_Inference_ms,YOLO_Postprocess_ms,CUDA_Used,Model,Tracker,Notes
1,0.071,57.2,0.6,57.8,1,1,14.0,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
2,0.122,37.7,4.7,42.3,1,1,16.5,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
3,0.167,32.7,5.2,37.9,1,1,17.9,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
4,0.214,32.5,6.6,39.0,1,1,18.7,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
5,0.266,39.1,5.9,45.0,1,1,18.8,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
6,0.311,31.9,6.1,38.0,1,1,19.3,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
7,0.357,32.2,6.3,38.5,1,1,19.6,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
8,0.402,31.6,7.2,38.8,1,1,19.9,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
9,0.450,35.5,6.0,41.5,1,1,20.0,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
10,0.492,28.5,6.6,35.2,1,1,20.3,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
11,0.540,34.5,6.4,40.9,1,1,20.4,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
12,0.589,36.0,6.4,42.4,1,1,20.4,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
13,0.633,31.6,5.9,37.5,1,1,20.5,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
14,0.680,33.8,4.9,38.7,1,1,20.6,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
15,0.727,34.0,6.3,40.2,1,1,20.6,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
16,0.772,32.6,5.3,37.9,1,1,20.7,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
17,0.819,34.1,7.0,41.0,1,1,20.8,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
18,0.869,36.5,7.1,43.7,1,1,20.7,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
19,0.920,34.8,8.4,43.2,1,1,20.7,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
20,0.966,33.0,7.0,39.9,1,1,20.7,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
21,1.013,33.1,6.8,39.9,1,1,20.7,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
22,1.057,30.1,7.1,37.1,0,0,20.8,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
23,1.108,36.1,8.3,44.3,1,0,20.8,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
24,1.154,31.9,8.7,40.6,1,0,20.8,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
25,1.201,31.5,8.2,39.7,1,1,20.8,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
26,1.254,39.2,6.2,45.4,1,1,20.7,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
27,1.304,36.9,7.5,44.3,1,1,20.7,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
28,1.364,45.6,7.2,52.8,1,1,20.5,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
29,1.423,42.2,10.7,52.9,1,1,20.4,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
30,1.471,35.9,5.7,41.6,0,0,20.4,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
31,1.571,35.4,59.3,94.7,1,0,19.7,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
32,1.641,32.9,23.8,56.8,1,0,19.5,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
33,1.703,32.0,23.4,55.4,1,1,19.4,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
34,1.759,31.4,17.4,48.8,1,1,19.3,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
35,1.818,31.3,21.0,52.3,0,0,19.3,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
36,1.872,30.5,16.2,46.6,0,0,19.2,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
37,1.919,35.0,4.9,39.9,0,0,19.3,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
38,1.972,33.7,11.5,45.3,1,0,19.3,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
39,2.018,32.0,7.0,39.0,1,0,19.3,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
40,2.068,34.2,7.0,41.2,1,1,19.3,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
41,2.115,32.5,7.0,39.5,1,1,19.4,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
42,2.165,35.3,7.1,42.4,1,1,19.4,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
43,2.216,33.0,7.5,40.4,1,1,19.4,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
44,2.267,35.2,6.1,41.3,1,1,19.4,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
45,2.312,31.4,5.2,36.6,1,1,19.5,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
46,2.362,33.4,6.0,39.4,1,1,19.5,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
47,2.412,36.0,5.9,41.9,1,1,19.5,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
48,2.460,33.5,6.5,39.9,1,1,19.5,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
49,2.509,33.0,5.0,38.0,1,1,19.5,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
50,2.556,33.5,5.9,39.4,1,1,19.6,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
51,2.605,35.4,6.0,41.4,1,1,19.6,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
52,2.655,35.8,5.6,41.4,1,1,19.6,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
53,2.705,34.7,6.4,41.1,1,1,19.6,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
54,2.756,36.2,7.4,43.6,1,1,19.6,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
55,2.803,31.8,7.2,39.1,1,1,19.6,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
56,2.857,38.7,7.2,45.9,1,1,19.6,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
57,2.907,35.4,7.3,42.7,1,1,19.6,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
58,2.958,34.5,7.3,41.8,1,1,19.6,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
59,3.006,33.1,7.6,40.6,1,1,19.6,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
60,3.059,34.6,10.6,45.2,1,1,19.6,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
61,3.106,31.8,5.5,37.4,1,1,19.6,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
62,3.156,31.6,10.6,42.2,1,1,19.6,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
63,3.204,30.2,7.6,37.8,1,1,19.7,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
64,3.255,35.2,7.2,42.5,1,1,19.7,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
65,3.305,34.6,7.6,42.2,1,1,19.7,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
66,3.364,37.8,10.3,48.1,1,1,19.6,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
67,3.414,32.8,6.1,38.9,1,1,19.6,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
68,3.466,34.9,5.9,40.8,1,1,19.6,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
69,3.511,30.5,6.3,36.7,1,1,19.7,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
70,3.565,38.1,6.9,45.0,1,1,19.6,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
71,3.614,30.3,7.5,37.8,1,1,19.6,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
72,3.658,30.2,5.2,35.4,1,1,19.7,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
73,3.710,35.0,5.8,40.8,1,1,19.7,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
74,3.758,32.4,6.1,38.6,1,1,19.7,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
75,3.802,30.6,5.9,36.5,1,1,19.7,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
76,3.852,33.5,6.3,39.8,1,1,19.7,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
77,3.898,31.8,6.1,37.9,1,1,19.8,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
78,3.944,31.1,6.3,37.4,1,1,19.8,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
79,3.991,30.0,7.0,36.9,1,1,19.8,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
80,4.039,33.5,6.6,40.1,1,1,19.8,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
81,4.087,33.9,6.3,40.2,1,1,19.8,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
82,4.139,35.2,6.5,41.7,1,1,19.8,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
83,4.184,31.8,6.0,37.9,1,1,19.8,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
84,4.235,35.9,7.2,43.1,1,1,19.8,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
85,4.280,29.2,5.9,35.1,1,1,19.9,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
86,4.330,32.8,8.6,41.3,1,1,19.9,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
87,4.380,36.4,6.0,42.5,1,1,19.9,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
88,4.429,33.0,6.3,39.3,1,1,19.9,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
89,4.478,34.9,6.5,41.4,1,1,19.9,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
90,4.525,32.7,6.5,39.2,1,1,19.9,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
91,4.573,33.6,6.1,39.7,1,1,19.9,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
92,4.620,32.5,6.3,38.8,1,1,19.9,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
93,4.664,30.7,5.1,35.8,1,1,19.9,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
94,4.711,32.3,6.1,38.4,1,1,20.0,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
95,4.758,32.8,6.6,39.4,1,1,20.0,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
96,4.812,42.1,5.2,47.3,1,1,19.9,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
97,4.858,33.0,5.1,38.1,1,1,20.0,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
98,4.904,30.9,6.5,37.4,1,1,20.0,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
99,4.951,34.2,5.1,39.3,1,1,20.0,0.0,0.0,0.0,Yes,yolo11n,boosttrack,
