# System Information
# OS,Darwin,Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:23 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,yolov8n.pt,Size,6.25 MB
# Model Task,detect,Version,unknown
# Tracker,bytetrack
# Device,auto,Half Precision,False,Confidence Threshold,0.3

# Video,data/videos/WIN_20250319_10_03_53_Pro.mp4
# Resolution,1920x1080,FPS,28,Total Frames,1369

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,YOLO_Preprocess_ms,YOLO_Inference_ms,YOLO_Postprocess_ms,CUDA_Used,Model,Tracker,Notes
1,0.097,81.6,0.3,81.9,1,1,10.3,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
2,0.285,31.8,1.0,32.7,1,1,7.0,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
3,0.345,31.4,0.3,31.7,1,1,8.7,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
4,0.491,117.6,0.4,118.0,1,1,8.1,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
5,0.553,36.5,0.3,36.8,1,1,9.0,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
6,0.627,29.3,0.3,29.5,1,1,9.6,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
7,0.693,28.1,0.3,28.4,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
8,0.751,29.4,0.3,29.7,1,1,10.7,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
9,0.801,27.0,0.3,27.2,1,1,11.2,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
10,0.852,27.5,0.3,27.8,1,1,11.7,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
11,0.904,27.1,0.3,27.3,1,1,12.2,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
12,0.955,27.7,0.3,28.0,1,1,12.6,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
13,1.006,26.9,0.3,27.1,1,1,12.9,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
14,1.061,29.9,0.3,30.1,1,1,13.2,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
15,1.112,27.7,0.2,28.0,1,1,13.5,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
16,1.163,27.1,0.3,27.3,1,1,13.8,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
17,1.215,28.7,0.2,29.0,1,1,14.0,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
18,1.267,28.0,0.3,28.3,1,1,14.2,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
19,1.318,27.0,0.2,27.2,1,1,14.4,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
20,1.369,27.2,0.2,27.5,1,1,14.6,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
21,1.420,27.3,0.2,27.5,1,1,14.8,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
22,1.472,28.6,0.3,28.8,1,1,14.9,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
23,1.522,26.8,0.2,27.0,1,1,15.1,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
24,1.573,27.7,0.3,28.0,1,1,15.3,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
25,1.625,27.9,0.2,28.1,1,1,15.4,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
26,1.677,27.3,0.2,27.5,1,1,15.5,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
27,1.728,26.8,0.2,27.0,1,1,15.6,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
28,1.780,28.4,0.2,28.6,1,1,15.7,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
29,1.830,27.1,0.2,27.3,1,1,15.8,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
30,1.880,26.9,0.2,27.1,1,1,16.0,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
31,1.932,28.9,0.3,29.2,1,1,16.0,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
32,1.985,27.9,0.2,28.1,1,1,16.1,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
33,2.035,26.8,0.2,27.1,1,1,16.2,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
34,2.086,26.7,0.3,26.9,1,1,16.3,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
35,2.138,28.3,0.1,28.5,0,0,16.4,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
36,2.189,27.3,0.3,27.6,1,1,16.4,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
37,2.240,26.6,0.2,26.8,1,1,16.5,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
38,2.292,27.3,0.2,27.6,1,1,16.6,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
39,2.342,26.5,0.3,26.7,1,1,16.6,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
40,2.395,26.1,0.3,26.3,1,1,16.7,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
41,2.446,26.5,0.2,26.8,1,1,16.8,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
42,2.497,27.2,0.2,27.5,1,1,16.8,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
43,2.551,26.7,0.2,26.9,1,1,16.9,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
44,2.603,26.8,0.3,27.0,1,1,16.9,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
45,2.654,26.6,0.2,26.8,1,1,17.0,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
46,2.708,26.7,0.2,26.9,1,1,17.0,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
47,2.761,27.7,0.2,27.9,1,1,17.0,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
48,2.813,27.4,0.3,27.6,1,1,17.1,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
49,2.868,27.4,0.2,27.7,1,1,17.1,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
50,2.919,26.3,0.2,26.6,1,1,17.1,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
51,2.972,27.7,0.3,28.0,1,1,17.2,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
52,3.026,28.0,0.3,28.3,1,1,17.2,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
53,3.079,27.6,0.2,27.9,1,1,17.2,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
54,3.131,27.5,0.3,27.8,1,1,17.2,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
55,3.185,28.4,0.2,28.7,1,1,17.3,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
56,3.237,27.8,0.2,28.1,1,1,17.3,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
57,3.290,27.5,0.3,27.7,1,1,17.3,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
58,3.343,28.1,0.3,28.3,1,1,17.3,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
59,3.396,28.2,0.2,28.4,1,1,17.4,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
60,3.449,28.3,0.3,28.5,1,1,17.4,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
61,3.504,28.4,0.2,28.7,1,1,17.4,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
62,3.556,27.2,0.2,27.5,1,1,17.4,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
63,3.611,27.1,0.3,27.3,1,1,17.4,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
64,3.665,28.9,0.2,29.2,1,1,17.5,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
65,3.719,28.9,0.3,29.2,1,1,17.5,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
66,3.775,28.3,0.3,28.5,1,1,17.5,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
67,3.831,28.2,0.3,28.5,1,1,17.5,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
68,3.886,26.7,0.2,26.9,1,1,17.5,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
69,3.939,27.8,0.3,28.1,1,1,17.5,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
70,3.992,27.7,0.2,27.9,1,1,17.5,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
71,4.047,27.6,0.3,27.9,1,1,17.5,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
72,4.101,27.5,0.3,27.7,1,1,17.6,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
73,4.155,27.0,0.3,27.2,1,1,17.6,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
74,4.209,27.4,0.2,27.6,1,1,17.6,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
75,4.262,28.4,0.2,28.7,1,1,17.6,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
76,4.317,27.0,0.2,27.3,1,1,17.6,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
77,4.369,27.6,0.2,27.8,1,1,17.6,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
78,4.422,27.7,0.3,28.0,1,1,17.6,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
79,4.478,27.9,0.2,28.1,1,1,17.6,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
80,4.530,27.2,0.3,27.5,1,1,17.7,0.0,0.0,0.0,Yes,yolov8n,bytetrack,
