# System Information
# OS,Darwin,Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:23 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,yolo11n-pose.pt,Size,5.97 MB
# Model Task,pose,Version,unknown
# Tracker,deepsort
# Device,auto,Half Precision,False,Confidence Threshold,0.3

# Video,data/videos/WIN_20250319_10_03_53_Pro.mp4
# Resolution,1920x1080,FPS,28,Total Frames,1369

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,YOLO_Preprocess_ms,YOLO_Inference_ms,YOLO_Postprocess_ms,CUDA_Used,Model,Tracker,Notes
1,0.253,79.1,159.3,238.5,1,0,3.9,2.2,43.7,4.7,No,yolo11n-pose,deepsort,
2,0.917,42.0,458.7,500.7,1,0,2.2,1.4,37.8,0.4,No,yolo11n-pose,deepsort,
3,1.187,55.0,184.3,239.3,1,1,2.5,1.9,52.0,0.4,No,yolo11n-pose,deepsort,
4,1.405,33.9,153.8,187.7,1,1,2.8,1.3,31.4,0.4,No,yolo11n-pose,deepsort,
5,1.650,40.5,158.0,198.5,1,1,3.0,1.8,37.8,0.3,No,yolo11n-pose,deepsort,
6,1.868,38.8,151.0,189.8,1,1,3.2,1.3,36.5,0.5,No,yolo11n-pose,deepsort,
7,2.083,34.4,154.3,188.7,1,1,3.4,1.2,32.1,0.3,No,yolo11n-pose,deepsort,
8,2.402,80.4,214.7,295.1,1,1,3.3,16.1,63.5,0.4,No,yolo11n-pose,deepsort,
9,2.716,44.8,245.3,290.1,1,1,3.3,1.4,42.6,0.4,No,yolo11n-pose,deepsort,
10,3.041,49.8,251.8,301.6,1,1,3.3,1.7,47.3,0.3,No,yolo11n-pose,deepsort,
11,3.372,54.8,251.9,306.7,1,1,3.3,1.7,52.2,0.4,No,yolo11n-pose,deepsort,
12,3.700,53.4,250.5,303.9,1,1,3.2,1.5,50.9,0.3,No,yolo11n-pose,deepsort,
13,4.022,47.6,250.5,298.1,1,1,3.2,1.1,45.6,0.4,No,yolo11n-pose,deepsort,
14,4.346,78.1,221.4,299.4,1,1,3.2,13.6,63.6,0.3,No,yolo11n-pose,deepsort,
15,4.673,47.3,255.4,302.7,1,1,3.2,1.2,45.0,0.4,No,yolo11n-pose,deepsort,
16,4.985,105.1,181.2,286.3,1,1,3.2,8.9,95.1,0.3,No,yolo11n-pose,deepsort,
17,5.319,113.6,195.6,309.2,1,1,3.2,5.8,107.0,0.3,No,yolo11n-pose,deepsort,
18,5.593,79.7,170.8,250.5,1,1,3.2,18.2,60.4,0.3,No,yolo11n-pose,deepsort,
19,5.962,179.0,164.8,343.8,1,1,3.2,1.2,176.7,0.3,No,yolo11n-pose,deepsort,
20,6.253,76.2,191.1,267.3,1,1,3.2,22.5,52.8,0.4,No,yolo11n-pose,deepsort,
21,6.580,150.8,151.9,302.7,1,1,3.2,16.7,133.2,0.4,No,yolo11n-pose,deepsort,
22,6.948,171.8,172.7,344.6,1,1,3.2,1.3,169.6,0.3,No,yolo11n-pose,deepsort,
23,7.221,82.7,166.0,248.7,1,1,3.2,14.0,67.9,0.3,No,yolo11n-pose,deepsort,
24,7.439,50.0,144.4,194.4,1,1,3.2,1.2,48.0,0.4,No,yolo11n-pose,deepsort,
25,7.707,54.3,189.9,244.2,1,1,3.2,1.2,52.3,0.4,No,yolo11n-pose,deepsort,
26,7.952,70.1,150.8,220.9,1,1,3.3,4.7,64.4,0.3,No,yolo11n-pose,deepsort,
27,8.170,50.9,142.7,193.6,1,1,3.3,1.2,48.7,0.7,No,yolo11n-pose,deepsort,
28,8.411,48.0,169.2,217.2,1,1,3.3,1.2,46.0,0.4,No,yolo11n-pose,deepsort,
29,8.622,56.5,130.7,187.2,1,1,3.4,1.9,53.6,0.5,No,yolo11n-pose,deepsort,
30,9.011,97.5,267.0,364.5,1,1,3.3,12.9,83.8,0.3,No,yolo11n-pose,deepsort,
31,9.412,117.4,259.2,376.6,1,1,3.3,10.2,105.9,0.3,No,yolo11n-pose,deepsort,
32,9.748,114.1,197.5,311.6,1,1,3.3,27.0,85.9,0.4,No,yolo11n-pose,deepsort,
33,10.103,151.4,179.5,330.9,1,1,3.3,13.6,136.5,0.3,No,yolo11n-pose,deepsort,
34,10.324,52.0,144.4,196.4,1,1,3.3,1.3,49.4,0.4,No,yolo11n-pose,deepsort,
35,10.397,47.8,0.1,47.9,0,1,3.4,1.5,45.6,0.2,No,yolo11n-pose,deepsort,
36,10.702,53.2,226.5,279.7,1,1,3.4,1.4,50.9,0.4,No,yolo11n-pose,deepsort,
37,10.968,77.8,162.6,240.4,1,1,3.4,18.4,58.6,0.3,No,yolo11n-pose,deepsort,
38,11.208,52.9,161.8,214.7,1,1,3.4,1.3,50.8,0.4,No,yolo11n-pose,deepsort,
39,11.442,59.9,148.3,208.2,1,1,3.4,1.7,57.2,0.4,No,yolo11n-pose,deepsort,
40,11.679,55.2,154.2,209.4,1,1,3.4,1.4,53.0,0.4,No,yolo11n-pose,deepsort,
41,12.072,52.5,315.1,367.6,1,1,3.4,1.4,50.0,0.7,No,yolo11n-pose,deepsort,
42,12.359,92.8,168.5,261.3,1,1,3.4,33.1,58.8,0.4,No,yolo11n-pose,deepsort,
43,12.594,53.0,152.0,205.0,1,1,3.4,1.3,50.6,0.3,No,yolo11n-pose,deepsort,
44,12.915,53.1,239.3,292.3,1,1,3.4,1.2,50.1,1.0,No,yolo11n-pose,deepsort,
45,13.223,112.7,169.2,281.9,1,1,3.4,21.0,90.9,0.4,No,yolo11n-pose,deepsort,
46,13.458,47.3,158.4,205.7,1,1,3.4,1.3,44.8,0.4,No,yolo11n-pose,deepsort,
47,13.712,53.1,174.3,227.4,1,1,3.4,1.2,51.1,0.3,No,yolo11n-pose,deepsort,
48,14.037,87.0,210.2,297.3,1,1,3.4,1.4,84.5,0.3,No,yolo11n-pose,deepsort,
49,14.355,120.5,169.4,289.8,1,1,3.4,29.2,90.4,0.3,No,yolo11n-pose,deepsort,
50,14.578,52.3,145.3,197.6,1,1,3.4,1.3,50.1,0.3,No,yolo11n-pose,deepsort,
51,14.937,174.1,159.5,333.6,1,1,3.4,1.3,171.6,0.4,No,yolo11n-pose,deepsort,
52,15.225,95.5,164.5,260.0,1,1,3.4,29.3,65.0,0.7,No,yolo11n-pose,deepsort,
53,15.441,47.7,142.4,190.1,1,1,3.4,1.3,45.6,0.3,No,yolo11n-pose,deepsort,
54,15.734,51.0,215.9,266.9,1,1,3.4,1.2,48.7,0.3,No,yolo11n-pose,deepsort,
55,15.966,51.3,153.5,204.8,1,1,3.4,3.0,47.5,0.4,No,yolo11n-pose,deepsort,
56,16.202,54.4,156.8,211.2,1,1,3.5,1.3,52.0,0.4,No,yolo11n-pose,deepsort,
57,16.431,54.6,148.4,203.0,1,1,3.5,1.2,52.2,0.7,No,yolo11n-pose,deepsort,
58,16.785,51.5,276.7,328.2,1,1,3.5,1.4,49.1,0.4,No,yolo11n-pose,deepsort,
59,17.144,135.8,196.7,332.5,1,1,3.4,77.6,57.4,0.3,No,yolo11n-pose,deepsort,
60,17.490,137.7,182.9,320.6,1,1,3.4,31.1,105.4,0.5,No,yolo11n-pose,deepsort,
61,17.876,161.9,196.4,358.3,1,1,3.4,22.9,138.0,0.3,No,yolo11n-pose,deepsort,
