# System Information
# OS,Darwin,Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:23 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,/Users/takahashiryoutarou/Desktop/国宝さん一覧/box/yolo11n-pose.pt,Task,pose
# Tracker,deepsort
# Device,cpu

# Video,data/videos/WIN_20250319_10_03_53_Pro.mp4
# Resolution,1920x1080,FPS,28.089349711378

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,YOLO_Preprocess_ms,YOLO_Inference_ms,YOLO_Postprocess_ms,CUDA_Used,Model,Tracker,Notes
1,0.122,0.0,0.0,0.0,1,0,8.2,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
2,0.333,0.0,0.0,0.0,1,1,6.0,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
3,0.472,0.0,0.0,0.0,1,1,6.4,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
4,0.582,0.0,0.0,0.0,1,1,6.9,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
5,0.689,0.0,0.0,0.0,1,1,7.3,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
6,0.804,0.0,0.0,0.0,1,1,7.5,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
7,0.934,0.0,0.0,0.0,1,1,7.5,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
8,1.043,0.0,0.0,0.0,1,1,7.7,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
9,1.143,0.0,0.0,0.0,1,1,7.9,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
10,1.247,0.0,0.0,0.0,1,1,8.0,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
11,1.350,0.0,0.0,0.0,1,1,8.1,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
12,1.453,0.0,0.0,0.0,1,1,8.3,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
13,1.554,0.0,0.0,0.0,1,1,8.4,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
14,1.650,0.0,0.0,0.0,1,1,8.5,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
15,1.746,0.0,0.0,0.0,1,1,8.6,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
16,1.841,0.0,0.0,0.0,1,1,8.7,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
17,1.941,0.0,0.0,0.0,1,1,8.8,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
18,2.045,0.0,0.0,0.0,1,1,8.8,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
19,2.149,0.0,0.0,0.0,1,1,8.8,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
20,2.252,0.0,0.0,0.0,1,1,8.9,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
21,2.355,0.0,0.0,0.0,1,1,8.9,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
22,2.457,0.0,0.0,0.0,1,1,9.0,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
23,2.559,0.0,0.0,0.0,1,1,9.0,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
24,2.658,0.0,0.0,0.0,1,1,9.0,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
25,2.760,0.0,0.0,0.0,1,1,9.1,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
26,2.861,0.0,0.0,0.0,1,1,9.1,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
27,2.965,0.0,0.0,0.0,1,1,9.1,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
28,3.069,0.0,0.0,0.0,1,1,9.1,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
29,3.172,0.0,0.0,0.0,1,1,9.1,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
30,3.274,0.0,0.0,0.0,1,1,9.2,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
31,3.380,0.0,0.0,0.0,1,1,9.2,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
32,3.484,0.0,0.0,0.0,1,1,9.2,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
33,3.584,0.0,0.0,0.0,1,1,9.2,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
34,3.684,0.0,0.0,0.0,1,1,9.2,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
35,3.782,0.0,0.0,0.0,1,1,9.3,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
36,3.881,0.0,0.0,0.0,1,1,9.3,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
37,3.977,0.0,0.0,0.0,1,1,9.3,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
38,4.074,0.0,0.0,0.0,1,1,9.3,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
39,4.172,0.0,0.0,0.0,1,1,9.3,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
40,4.269,0.0,0.0,0.0,1,1,9.4,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
41,4.367,0.0,0.0,0.0,1,1,9.4,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
42,4.469,0.0,0.0,0.0,1,1,9.4,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
43,4.583,0.0,0.0,0.0,1,1,9.4,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
44,4.685,0.0,0.0,0.0,1,1,9.4,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
45,4.787,0.0,0.0,0.0,1,1,9.4,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
46,4.888,0.0,0.0,0.0,1,1,9.4,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
47,4.993,0.0,0.0,0.0,1,1,9.4,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
48,5.095,0.0,0.0,0.0,1,1,9.4,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
49,5.198,0.0,0.0,0.0,1,1,9.4,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
