# System Information
# OS,Darwin,Darwin Kernel Version 24.4.0: Fri Apr 11 18:34:14 PDT 2025; root:xnu-11417.101.15~117/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,models/yolo11n-pose.pt,Task,pose
# Tracker,deepsort
# Device,auto

# Video,/Users/takahashiryoutarou/Desktop/国宝さん一覧/box/data/raw/WIN_20250319_10_03_53_Pro.mp4
# Resolution,1920x1080,FPS,28.089349711378

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,YOLO_Preprocess_ms,YOLO_Inference_ms,YOLO_Postprocess_ms,CUDA_Used,Model,Tracker,Notes
1,0.130,0.0,0.0,0.0,1,0,7.7,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
2,0.225,0.0,0.0,0.0,1,1,8.9,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
3,0.312,0.0,0.0,0.0,1,1,9.6,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
4,0.396,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
5,0.479,0.0,0.0,0.0,1,1,10.4,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
6,0.561,0.0,0.0,0.0,1,1,10.7,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
7,0.686,0.0,0.0,0.0,1,1,10.2,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
8,0.795,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
9,0.901,0.0,0.0,0.0,1,1,10.0,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
10,0.990,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
11,1.080,0.0,0.0,0.0,1,1,10.2,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
12,1.193,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
13,1.309,0.0,0.0,0.0,1,1,9.9,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
14,1.413,0.0,0.0,0.0,1,1,9.9,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
15,1.528,0.0,0.0,0.0,1,1,9.8,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
16,1.661,0.0,0.0,0.0,1,1,9.6,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
17,1.765,0.0,0.0,0.0,1,1,9.6,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
18,1.898,0.0,0.0,0.0,1,1,9.5,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
19,2.022,0.0,0.0,0.0,1,1,9.4,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
20,2.147,0.0,0.0,0.0,1,1,9.3,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
21,2.292,0.0,0.0,0.0,1,1,9.2,0.0,0.0,0.0,No,yolo11n-pose,deepsort,
