# System Information
# OS,Darwin,Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:23 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,yolov8n-pose.pt,Task,pose
# Tracker,deepsort
# Device,mps

# Video,data/videos/WIN_20250319_10_03_53_Pro.mp4
# Resolution,1920x1080,FPS,28.089349711378

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,YOLO_Preprocess_ms,YOLO_Inference_ms,YOLO_Postprocess_ms,CUDA_Used,Model,Tracker,Notes
1,0.126,0.0,0.0,0.0,1,0,7.9,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
2,0.340,0.0,0.0,0.0,1,1,5.9,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
3,0.472,0.0,0.0,0.0,1,1,6.4,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
4,0.595,0.0,0.0,0.0,1,1,6.7,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
5,0.712,0.0,0.0,0.0,1,1,7.0,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
6,0.837,0.0,0.0,0.0,1,1,7.2,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
7,0.968,0.0,0.0,0.0,1,1,7.2,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
8,1.079,0.0,0.0,0.0,1,1,7.4,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
9,1.190,0.0,0.0,0.0,1,1,7.6,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
10,1.298,0.0,0.0,0.0,1,1,7.7,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
11,1.399,0.0,0.0,0.0,1,1,7.9,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
12,1.500,0.0,0.0,0.0,1,1,8.0,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
13,1.600,0.0,0.0,0.0,1,1,8.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
14,1.696,0.0,0.0,0.0,1,1,8.3,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
15,1.795,0.0,0.0,0.0,1,1,8.4,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
16,1.893,0.0,0.0,0.0,1,1,8.5,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
17,1.996,0.0,0.0,0.0,1,1,8.5,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
18,2.094,0.0,0.0,0.0,1,1,8.6,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
19,2.196,0.0,0.0,0.0,1,1,8.7,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
20,2.297,0.0,0.0,0.0,1,1,8.7,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
21,2.408,0.0,0.0,0.0,1,1,8.7,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
22,2.516,0.0,0.0,0.0,1,1,8.7,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
23,2.626,0.0,0.0,0.0,1,1,8.8,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
24,2.742,0.0,0.0,0.0,1,1,8.8,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
25,2.860,0.0,0.0,0.0,1,1,8.7,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
26,2.973,0.0,0.0,0.0,1,1,8.7,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
27,3.090,0.0,0.0,0.0,1,1,8.7,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
28,3.160,0.0,0.0,0.0,0,1,8.9,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
29,3.225,0.0,0.0,0.0,0,1,9.0,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
30,3.329,0.0,0.0,0.0,1,1,9.0,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
31,3.394,0.0,0.0,0.0,0,1,9.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
32,3.458,0.0,0.0,0.0,0,1,9.3,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
33,3.520,0.0,0.0,0.0,0,1,9.4,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
34,3.581,0.0,0.0,0.0,0,1,9.5,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
35,3.643,0.0,0.0,0.0,0,1,9.6,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
36,3.705,0.0,0.0,0.0,0,1,9.7,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
37,3.800,0.0,0.0,0.0,1,1,9.7,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
38,3.899,0.0,0.0,0.0,1,2,9.7,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
39,3.995,0.0,0.0,0.0,1,2,9.8,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
40,4.094,0.0,0.0,0.0,1,2,9.8,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
41,4.194,0.0,0.0,0.0,1,2,9.8,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
42,4.293,0.0,0.0,0.0,1,2,9.8,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
43,4.397,0.0,0.0,0.0,1,2,9.8,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
44,4.500,0.0,0.0,0.0,1,2,9.8,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
45,4.601,0.0,0.0,0.0,1,2,9.8,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
46,4.702,0.0,0.0,0.0,1,1,9.8,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
47,4.803,0.0,0.0,0.0,1,1,9.8,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
48,4.902,0.0,0.0,0.0,1,1,9.8,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
49,5.001,0.0,0.0,0.0,1,1,9.8,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
