# System Information
# OS,Darwin,Darwin Kernel Version 24.4.0: Fri Apr 11 18:34:14 PDT 2025; root:xnu-11417.101.15~117/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,models/yolov8n.pt
# Tracker,deepsort

# Video,/Users/takahashiryoutarou/Desktop/国宝さん一覧/box/data/raw/WIN_20250319_10_03_53_Pro.mp4

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Stay_Check_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,Model,Tracker,Notes
# Resolution,1920x1080,FPS,28.09
# Stay Threshold (s),6.0
# Move Threshold (px),20.0

1,0.114,60.8,36.3,0.0,113.9,1,0,8.8,yolov8n,deepsort,
2,0.198,47.1,33.4,0.0,82.6,1,0,10.1,yolov8n,deepsort,
3,0.276,40.0,34.2,0.0,77.1,1,1,10.9,yolov8n,deepsort,
4,0.354,40.1,33.4,0.0,76.8,1,1,11.3,yolov8n,deepsort,
5,0.435,42.5,34.6,0.0,79.7,1,1,11.5,yolov8n,deepsort,
6,0.514,39.5,36.1,0.0,78.1,1,1,11.7,yolov8n,deepsort,
7,0.595,40.7,36.4,0.0,80.1,1,1,11.8,yolov8n,deepsort,
8,0.741,93.0,48.8,0.0,144.4,1,1,10.8,yolov8n,deepsort,
9,0.857,59.9,52.4,0.0,115.1,1,1,10.5,yolov8n,deepsort,
10,0.940,42.3,37.3,0.0,82.1,1,1,10.6,yolov8n,deepsort,
11,1.022,42.2,35.3,0.0,80.2,1,1,10.8,yolov8n,deepsort,
12,1.103,42.1,36.3,0.0,80.8,1,1,10.9,yolov8n,deepsort,
13,1.218,57.5,49.5,0.0,113.0,1,1,10.7,yolov8n,deepsort,
14,1.333,69.0,42.6,0.0,114.2,1,1,10.5,yolov8n,deepsort,
15,1.443,62.0,44.4,0.0,109.1,1,1,10.4,yolov8n,deepsort,
16,1.560,64.9,47.7,0.0,115.2,1,1,10.3,yolov8n,deepsort,
17,1.681,72.7,44.8,0.0,120.0,1,1,10.1,yolov8n,deepsort,
18,1.829,67.8,70.8,0.0,146.8,1,1,9.8,yolov8n,deepsort,
19,1.952,73.4,46.9,0.0,122.5,1,1,9.7,yolov8n,deepsort,
20,2.081,74.1,51.2,0.0,127.8,1,1,9.6,yolov8n,deepsort,
21,2.195,56.7,47.4,0.0,110.8,1,1,9.6,yolov8n,deepsort,
22,2.312,68.8,41.4,0.0,115.6,1,1,9.5,yolov8n,deepsort,
23,2.409,46.7,46.8,0.0,96.5,1,1,9.5,yolov8n,deepsort,
24,2.556,75.7,65.2,0.0,146.5,1,1,9.4,yolov8n,deepsort,
25,2.668,66.0,41.7,0.0,110.4,1,1,9.4,yolov8n,deepsort,
26,2.819,83.2,58.2,0.0,147.9,1,1,9.2,yolov8n,deepsort,
27,2.948,68.9,56.2,0.0,127.8,1,1,9.2,yolov8n,deepsort,
28,3.044,47.7,41.8,0.0,95.5,1,1,9.2,yolov8n,deepsort,
29,3.164,64.7,51.2,0.0,118.6,1,1,9.2,yolov8n,deepsort,
30,3.274,53.5,53.4,0.0,109.1,1,1,9.2,yolov8n,deepsort,
31,3.397,68.2,48.3,0.0,121.1,1,1,9.1,yolov8n,deepsort,
32,3.509,58.8,50.1,0.0,111.5,1,1,9.1,yolov8n,deepsort,
33,3.603,55.8,34.0,0.0,92.3,1,1,9.2,yolov8n,deepsort,
34,3.696,39.7,49.2,0.0,91.6,1,1,9.2,yolov8n,deepsort,
35,3.806,53.0,53.6,0.0,109.2,1,1,9.2,yolov8n,deepsort,
36,3.933,70.3,53.6,0.0,126.2,1,1,9.2,yolov8n,deepsort,
37,4.024,46.9,40.0,0.0,89.2,1,1,9.2,yolov8n,deepsort,
38,4.113,46.3,39.5,0.0,88.1,1,1,9.2,yolov8n,deepsort,
39,4.232,69.4,47.0,0.0,118.4,1,1,9.2,yolov8n,deepsort,
40,4.364,73.3,52.4,0.0,130.9,1,1,9.2,yolov8n,deepsort,
41,4.466,64.0,35.1,0.0,101.3,1,1,9.2,yolov8n,deepsort,
42,4.592,57.2,64.8,0.0,124.6,1,1,9.1,yolov8n,deepsort,
43,4.720,60.0,64.4,0.0,126.7,1,1,9.1,yolov8n,deepsort,
44,4.857,70.1,63.6,0.0,136.2,1,1,9.1,yolov8n,deepsort,
45,5.007,74.6,71.6,0.0,148.4,1,1,9.0,yolov8n,deepsort,
46,5.127,51.7,64.7,0.0,118.9,1,1,9.0,yolov8n,deepsort,
47,5.259,71.4,51.7,0.0,129.2,1,1,8.9,yolov8n,deepsort,
48,5.396,82.9,50.4,0.0,135.8,1,1,8.9,yolov8n,deepsort,
49,5.503,49.0,50.5,0.0,106.0,1,1,8.9,yolov8n,deepsort,
50,5.617,64.3,45.9,0.0,112.4,1,1,8.9,yolov8n,deepsort,
51,5.751,74.7,55.1,0.0,132.4,1,1,8.9,yolov8n,deepsort,
52,5.888,82.5,50.5,0.0,136.1,1,1,8.8,yolov8n,deepsort,
53,6.011,72.1,45.0,0.0,120.0,1,1,8.8,yolov8n,deepsort,
54,6.135,82.9,37.3,0.0,122.9,1,1,8.8,yolov8n,deepsort,
55,6.254,70.9,38.4,0.0,116.9,1,1,8.8,yolov8n,deepsort,
56,6.387,79.7,50.0,0.0,131.9,1,1,8.8,yolov8n,deepsort,
57,6.507,50.9,61.8,0.0,117.3,1,1,8.8,yolov8n,deepsort,
58,6.636,77.2,43.3,0.0,123.6,1,1,8.7,yolov8n,deepsort,
59,6.752,69.0,43.0,0.0,114.5,1,1,8.7,yolov8n,deepsort,
60,6.860,58.1,42.9,0.0,107.7,1,1,8.7,yolov8n,deepsort,
61,6.982,69.0,48.9,0.0,120.4,1,1,8.7,yolov8n,deepsort,
62,7.120,91.3,42.4,0.0,137.5,1,1,8.7,yolov8n,deepsort,
63,7.243,61.7,45.9,0.0,122.0,1,1,8.7,yolov8n,deepsort,
64,7.366,68.5,48.1,0.0,119.1,1,1,8.7,yolov8n,deepsort,
65,7.490,73.6,35.2,0.0,120.6,1,1,8.7,yolov8n,deepsort,
66,7.600,65.2,42.4,0.0,109.8,1,1,8.7,yolov8n,deepsort,
67,7.700,59.3,37.6,0.0,99.0,1,1,8.7,yolov8n,deepsort,
68,7.844,96.4,43.5,0.0,142.4,1,1,8.7,yolov8n,deepsort,
69,7.949,50.7,49.5,0.0,104.5,1,1,8.7,yolov8n,deepsort,
70,8.069,61.0,48.8,0.0,118.5,1,1,8.7,yolov8n,deepsort,
71,8.193,72.8,48.2,0.0,123.1,1,1,8.7,yolov8n,deepsort,
72,8.299,58.2,44.4,0.0,104.7,1,1,8.7,yolov8n,deepsort,
73,8.415,73.4,39.4,0.0,115.2,1,1,8.7,yolov8n,deepsort,
74,8.510,40.7,50.8,0.0,93.7,1,1,8.7,yolov8n,deepsort,
75,8.630,60.3,56.1,0.0,118.9,1,1,8.7,yolov8n,deepsort,
76,8.759,60.6,65.5,0.0,128.6,1,1,8.7,yolov8n,deepsort,
77,8.864,69.0,33.0,0.0,104.2,1,1,8.7,yolov8n,deepsort,
78,8.945,42.3,34.6,0.0,79.6,1,1,8.7,yolov8n,deepsort,
79,9.072,81.9,41.4,0.0,125.8,1,1,8.7,yolov8n,deepsort,
80,9.196,67.8,53.0,0.0,123.1,1,1,8.7,yolov8n,deepsort,
81,9.312,68.1,43.8,0.0,114.9,1,1,8.7,yolov8n,deepsort,
82,9.396,48.3,29.7,0.0,81.5,1,1,8.7,yolov8n,deepsort,
83,9.508,64.0,45.2,0.0,111.2,1,1,8.7,yolov8n,deepsort,
84,9.620,65.5,42.1,0.0,110.1,1,1,8.7,yolov8n,deepsort,
85,9.736,55.7,50.8,0.0,113.8,1,1,8.7,yolov8n,deepsort,
86,9.846,50.8,56.2,0.0,109.2,1,1,8.7,yolov8n,deepsort,
87,9.994,80.6,62.7,0.0,146.1,1,1,8.7,yolov8n,deepsort,
88,10.089,52.0,37.5,0.0,94.3,1,1,8.7,yolov8n,deepsort,
89,10.211,57.5,54.0,0.0,120.3,1,1,8.7,yolov8n,deepsort,
90,10.311,54.0,42.2,0.0,98.9,1,1,8.7,yolov8n,deepsort,
91,10.464,65.5,83.6,0.0,152.1,1,1,8.7,yolov8n,deepsort,
92,10.567,57.3,41.8,0.0,101.3,1,1,8.7,yolov8n,deepsort,
93,10.695,82.6,43.2,0.0,128.0,1,1,8.7,yolov8n,deepsort,
94,10.848,76.4,73.0,0.0,151.5,1,1,8.7,yolov8n,deepsort,
95,10.974,77.2,45.7,0.0,125.6,1,1,8.7,yolov8n,deepsort,
96,11.143,87.4,65.2,0.0,163.5,1,1,8.6,yolov8n,deepsort,
97,11.316,112.1,56.8,0.0,172.3,1,1,8.6,yolov8n,deepsort,
98,11.440,75.1,45.0,0.0,122.8,1,1,8.6,yolov8n,deepsort,
99,11.552,59.2,49.2,0.0,110.8,1,1,8.6,yolov8n,deepsort,
100,11.660,70.9,34.3,0.0,107.3,1,1,8.6,yolov8n,deepsort,
101,11.774,58.0,52.6,0.0,112.7,1,1,8.6,yolov8n,deepsort,
102,11.889,70.1,37.6,0.0,112.3,1,1,8.6,yolov8n,deepsort,
103,12.010,68.3,49.2,0.0,120.0,1,1,8.6,yolov8n,deepsort,
104,12.169,87.0,61.9,0.0,155.1,1,1,8.5,yolov8n,deepsort,
105,12.296,77.4,46.5,0.0,126.1,1,1,8.5,yolov8n,deepsort,
106,12.411,71.0,41.5,0.0,114.5,1,1,8.5,yolov8n,deepsort,
107,12.545,83.5,48.1,0.0,133.6,1,1,8.5,yolov8n,deepsort,
108,12.687,70.0,68.6,0.0,141.1,1,1,8.5,yolov8n,deepsort,
109,12.790,62.9,35.7,0.0,101.5,1,1,8.5,yolov8n,deepsort,
110,12.900,64.7,41.7,0.0,109.5,1,1,8.5,yolov8n,deepsort,
111,13.027,54.1,57.1,0.0,126.0,1,1,8.5,yolov8n,deepsort,
112,13.148,66.4,51.2,0.0,119.8,1,1,8.5,yolov8n,deepsort,
113,13.265,66.3,47.5,0.0,115.8,1,1,8.5,yolov8n,deepsort,
114,13.407,81.6,57.9,0.0,141.6,1,1,8.5,yolov8n,deepsort,
115,13.538,70.0,57.7,0.0,129.8,1,1,8.5,yolov8n,deepsort,
116,13.652,57.7,48.4,0.0,112.1,1,1,8.5,yolov8n,deepsort,
117,13.770,63.0,40.1,0.0,114.9,1,1,8.5,yolov8n,deepsort,
118,13.939,106.0,55.3,0.0,164.4,1,1,8.5,yolov8n,deepsort,
119,14.061,60.7,58.9,0.0,121.7,1,1,8.5,yolov8n,deepsort,
120,14.206,102.0,39.5,0.0,144.2,1,1,8.4,yolov8n,deepsort,
121,14.324,70.6,34.1,0.0,116.4,1,1,8.4,yolov8n,deepsort,
122,14.446,75.8,38.4,0.0,117.8,1,1,8.4,yolov8n,deepsort,1 notifications
123,14.577,81.7,39.5,0.0,126.2,1,1,8.4,yolov8n,deepsort,
124,14.706,57.7,67.2,0.0,127.7,1,1,8.4,yolov8n,deepsort,
125,14.809,65.1,34.7,0.0,102.2,1,1,8.4,yolov8n,deepsort,
126,14.894,46.1,34.5,0.0,83.6,1,1,8.5,yolov8n,deepsort,
127,15.029,83.6,48.2,0.0,134.5,1,1,8.5,yolov8n,deepsort,
128,15.147,77.4,37.2,0.0,116.7,1,1,8.5,yolov8n,deepsort,
129,15.254,69.2,33.4,0.0,106.2,1,1,8.5,yolov8n,deepsort,
130,15.363,64.6,34.9,0.0,105.9,1,1,8.5,yolov8n,deepsort,
131,15.499,82.5,47.4,0.0,135.3,1,1,8.5,yolov8n,deepsort,
132,15.626,77.5,46.2,0.0,126.4,1,1,8.4,yolov8n,deepsort,
133,15.754,73.0,51.7,0.0,126.9,1,1,8.4,yolov8n,deepsort,
134,15.870,75.1,36.1,0.0,114.0,1,1,8.4,yolov8n,deepsort,
135,15.991,62.9,48.8,0.0,116.2,1,1,8.4,yolov8n,deepsort,
136,16.133,81.1,45.5,0.0,140.6,1,1,8.4,yolov8n,deepsort,
137,16.246,64.4,45.7,0.0,112.2,1,1,8.4,yolov8n,deepsort,
138,16.359,73.7,35.3,0.0,111.0,1,1,8.4,yolov8n,deepsort,
139,16.433,36.6,33.8,0.0,72.5,1,1,8.5,yolov8n,deepsort,
140,16.516,45.9,33.1,0.0,81.8,1,1,8.5,yolov8n,deepsort,
141,16.604,45.2,39.1,0.0,87.0,1,1,8.5,yolov8n,deepsort,
142,16.720,59.5,53.7,0.0,115.4,1,1,8.5,yolov8n,deepsort,
143,16.822,61.0,37.6,0.0,100.6,1,1,8.5,yolov8n,deepsort,
144,16.906,41.6,29.1,0.0,83.9,1,1,8.5,yolov8n,deepsort,
145,16.985,44.5,30.8,0.0,77.7,1,1,8.5,yolov8n,deepsort,
146,17.054,36.7,29.3,0.0,68.1,1,1,8.6,yolov8n,deepsort,
147,17.123,36.7,29.3,0.0,68.0,1,1,8.6,yolov8n,deepsort,
148,17.209,36.6,46.9,0.0,85.6,1,1,8.6,yolov8n,deepsort,
149,17.335,74.4,43.7,0.0,123.4,1,1,8.6,yolov8n,deepsort,
150,17.444,63.4,41.9,0.0,107.5,1,1,8.6,yolov8n,deepsort,
151,17.585,79.8,52.8,0.0,138.1,1,1,8.6,yolov8n,deepsort,
152,17.698,67.8,41.5,0.0,111.6,1,1,8.6,yolov8n,deepsort,
153,17.848,80.3,60.5,0.0,149.1,1,1,8.6,yolov8n,deepsort,
154,17.968,86.0,30.1,0.0,119.3,1,1,8.6,yolov8n,deepsort,
155,18.085,61.5,41.6,0.0,114.3,1,1,8.6,yolov8n,deepsort,
156,18.213,75.5,48.7,0.0,126.4,1,1,8.6,yolov8n,deepsort,
157,18.360,82.3,50.3,0.0,146.0,1,1,8.6,yolov8n,deepsort,
158,18.504,95.4,45.8,0.0,143.3,1,1,8.5,yolov8n,deepsort,
159,18.630,68.4,48.6,0.0,125.3,1,1,8.5,yolov8n,deepsort,
160,18.762,81.3,47.2,0.0,130.6,1,1,8.5,yolov8n,deepsort,
161,18.895,94.1,36.6,0.0,132.8,1,1,8.5,yolov8n,deepsort,
162,19.035,76.9,59.1,0.0,138.5,1,1,8.5,yolov8n,deepsort,
163,19.167,77.5,42.5,0.0,130.6,1,1,8.5,yolov8n,deepsort,
164,19.291,68.2,52.8,0.0,123.2,1,1,8.5,yolov8n,deepsort,
165,19.410,72.2,44.1,0.0,118.4,1,1,8.5,yolov8n,deepsort,
166,19.533,72.5,46.2,0.0,121.3,1,1,8.5,yolov8n,deepsort,
167,19.638,59.6,40.8,0.0,102.9,1,1,8.5,yolov8n,deepsort,
168,19.767,73.9,52.0,0.0,128.0,1,1,8.5,yolov8n,deepsort,
169,19.898,67.8,57.8,0.0,130.4,1,1,8.5,yolov8n,deepsort,
170,20.017,74.2,41.1,0.0,117.3,1,1,8.5,yolov8n,deepsort,
171,20.133,70.3,43.6,0.0,115.9,1,1,8.5,yolov8n,deepsort,
172,20.224,49.1,38.5,0.0,89.6,1,1,8.5,yolov8n,deepsort,
173,20.362,85.3,49.8,0.0,137.2,1,1,8.5,yolov8n,deepsort,
174,20.488,82.7,39.6,0.0,124.7,1,1,8.5,yolov8n,deepsort,
175,20.606,68.8,44.5,0.0,117.5,1,1,8.5,yolov8n,deepsort,
176,20.699,56.2,32.4,0.0,91.8,1,1,8.5,yolov8n,deepsort,
177,20.810,64.9,42.8,0.0,110.1,1,1,8.5,yolov8n,deepsort,
178,20.920,71.0,36.1,0.0,109.6,1,1,8.5,yolov8n,deepsort,
179,21.043,67.6,51.8,0.0,122.2,1,1,8.5,yolov8n,deepsort,
180,21.173,62.7,63.8,0.0,129.0,1,1,8.5,yolov8n,deepsort,
181,21.342,126.6,37.9,0.0,167.3,1,1,8.5,yolov8n,deepsort,
182,21.448,61.5,41.0,0.0,105.0,1,1,8.5,yolov8n,deepsort,
183,21.526,43.3,29.1,0.0,75.2,1,1,8.5,yolov8n,deepsort,
184,21.653,74.9,47.5,0.0,125.8,1,1,8.5,yolov8n,deepsort,
185,21.797,88.6,51.8,0.0,143.3,1,1,8.5,yolov8n,deepsort,
186,21.910,68.3,31.2,0.0,111.9,1,1,8.5,yolov8n,deepsort,
187,22.008,50.2,43.6,0.0,96.6,1,1,8.5,yolov8n,deepsort,
188,22.135,74.4,41.8,0.0,119.0,1,1,8.5,yolov8n,deepsort,
189,22.288,97.7,51.5,0.0,151.4,1,1,8.5,yolov8n,deepsort,
190,22.412,73.3,47.3,0.0,123.1,1,1,8.5,yolov8n,deepsort,
191,22.552,83.1,53.7,0.0,139.0,1,1,8.5,yolov8n,deepsort,
192,22.693,90.4,48.1,0.0,140.5,1,1,8.5,yolov8n,deepsort,
193,22.812,62.9,52.7,0.0,118.1,1,1,8.5,yolov8n,deepsort,
194,22.915,54.4,29.6,0.0,101.6,1,1,8.5,yolov8n,deepsort,
195,23.005,54.8,32.4,0.0,89.7,1,1,8.5,yolov8n,deepsort,
196,23.105,45.8,49.9,0.0,98.6,1,1,8.5,yolov8n,deepsort,
197,23.235,86.9,39.7,0.0,128.9,1,1,8.5,yolov8n,deepsort,
198,23.357,74.4,44.6,0.0,121.0,1,1,8.5,yolov8n,deepsort,
199,23.466,71.4,30.8,0.0,108.9,1,1,8.5,yolov8n,deepsort,
200,23.574,54.2,43.6,0.0,104.4,1,1,8.5,yolov8n,deepsort,
201,23.693,80.3,34.7,0.0,117.7,1,1,8.5,yolov8n,deepsort,
202,23.811,63.9,41.2,0.0,116.8,1,1,8.5,yolov8n,deepsort,
203,23.925,70.6,40.4,0.0,113.2,1,1,8.5,yolov8n,deepsort,
204,24.044,61.0,49.1,0.0,118.0,1,1,8.5,yolov8n,deepsort,
205,24.187,70.8,68.4,0.0,141.8,1,1,8.5,yolov8n,deepsort,
206,24.352,116.0,45.7,0.0,164.7,1,1,8.5,yolov8n,deepsort,
207,24.489,71.7,59.7,0.0,135.8,1,1,8.5,yolov8n,deepsort,
208,24.614,57.6,52.1,0.0,122.9,1,1,8.5,yolov8n,deepsort,
209,24.728,73.4,36.2,0.0,112.4,1,1,8.5,yolov8n,deepsort,
210,24.872,72.2,62.4,0.0,142.9,1,1,8.4,yolov8n,deepsort,
211,24.965,54.4,30.9,0.0,89.9,1,1,8.5,yolov8n,deepsort,
212,25.097,60.5,58.7,0.0,130.2,1,1,8.4,yolov8n,deepsort,
213,25.248,71.7,77.0,0.0,150.9,1,1,8.4,yolov8n,deepsort,
214,25.377,74.4,41.4,0.0,127.5,1,1,8.4,yolov8n,deepsort,
215,25.513,83.4,48.8,0.0,134.9,1,1,8.4,yolov8n,deepsort,
216,25.625,60.2,49.5,0.0,111.8,1,1,8.4,yolov8n,deepsort,
217,25.769,89.7,50.3,0.0,142.9,1,1,8.4,yolov8n,deepsort,
218,25.897,85.5,38.6,0.0,126.5,1,1,8.4,yolov8n,deepsort,
219,26.009,72.5,36.5,0.0,111.0,1,1,8.4,yolov8n,deepsort,
220,26.114,66.5,35.8,0.0,104.3,1,1,8.4,yolov8n,deepsort,
221,26.233,63.0,52.5,0.0,118.2,1,1,8.4,yolov8n,deepsort,
222,26.367,80.9,42.3,0.0,129.8,1,1,8.4,yolov8n,deepsort,
223,26.481,61.9,49.1,0.0,113.2,1,1,8.4,yolov8n,deepsort,
224,26.585,57.1,41.8,0.0,103.2,1,1,8.4,yolov8n,deepsort,
225,26.696,55.8,40.8,0.0,110.3,1,1,8.4,yolov8n,deepsort,
226,26.818,66.3,52.2,0.0,120.6,1,1,8.4,yolov8n,deepsort,
227,26.942,62.6,44.2,0.0,121.4,1,1,8.4,yolov8n,deepsort,
228,27.064,74.2,45.5,0.0,121.9,1,1,8.4,yolov8n,deepsort,
229,27.196,77.6,50.9,0.0,130.6,1,1,8.4,yolov8n,deepsort,
230,27.302,74.6,28.7,0.0,105.3,1,1,8.4,yolov8n,deepsort,
231,27.387,44.3,38.2,0.0,84.6,1,1,8.4,yolov8n,deepsort,
232,27.522,84.6,42.3,0.0,132.7,1,1,8.4,yolov8n,deepsort,
233,27.661,93.3,41.4,0.0,137.5,1,1,8.4,yolov8n,deepsort,
234,27.793,79.3,48.9,0.0,130.8,1,1,8.4,yolov8n,deepsort,
235,27.943,91.7,54.7,0.0,148.8,1,1,8.4,yolov8n,deepsort,
236,28.059,68.3,44.4,0.0,115.0,1,1,8.4,yolov8n,deepsort,
237,28.202,92.4,47.5,0.0,142.1,1,1,8.4,yolov8n,deepsort,
238,28.324,68.6,44.8,0.0,119.7,1,1,8.4,yolov8n,deepsort,
239,28.434,54.9,41.3,0.0,108.2,1,1,8.4,yolov8n,deepsort,
240,28.550,73.9,38.9,0.0,114.9,1,1,8.4,yolov8n,deepsort,
241,28.673,73.5,44.9,0.0,120.5,1,1,8.4,yolov8n,deepsort,
242,28.800,75.5,47.6,0.0,126.5,1,1,8.4,yolov8n,deepsort,
243,28.908,63.8,39.5,0.0,107.0,1,1,8.4,yolov8n,deepsort,
244,29.022,72.9,35.1,0.0,111.1,1,1,8.4,yolov8n,deepsort,
245,29.139,75.1,39.0,0.0,116.1,1,1,8.4,yolov8n,deepsort,
