Frame,Time,Detection_Time_ms,Tracking_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,YOLO_Preprocess_ms,YOLO_Inference_ms,YOLO_Postprocess_ms,CUDA_Used,Notes
1,0.081,57.0,9.6,66.6,1,0,12.4,0.0,0.0,0.0,Yes,
2,0.311,38.1,67.6,105.7,1,0,6.4,0.0,0.0,0.0,Yes,
3,0.465,100.6,14.1,114.7,1,1,6.5,0.0,0.0,0.0,Yes,
4,0.550,37.0,18.5,55.5,1,1,7.3,0.0,0.0,0.0,Yes,
5,0.623,34.7,10.4,45.1,1,1,8.0,0.0,0.0,0.0,Yes,
6,0.714,47.9,8.4,56.3,1,1,8.4,0.0,0.0,0.0,Yes,
7,0.791,28.7,12.2,40.8,1,1,8.8,0.0,0.0,0.0,Yes,
8,0.865,37.8,9.8,47.6,1,1,9.3,0.0,0.0,0.0,Yes,
9,0.935,37.2,9.2,46.4,1,1,9.6,0.0,0.0,0.0,Yes,
10,1.002,34.4,9.1,43.5,1,1,10.0,0.0,0.0,0.0,Yes,
11,1.074,37.6,10.1,47.7,1,1,10.2,0.0,0.0,0.0,Yes,
12,1.143,34.8,10.5,45.3,1,1,10.5,0.0,0.0,0.0,Yes,
13,1.220,37.8,15.5,53.3,1,1,10.7,0.0,0.0,0.0,Yes,
14,1.293,37.2,10.4,47.5,1,1,10.8,0.0,0.0,0.0,Yes,
15,1.355,28.1,9.2,37.3,1,1,11.1,0.0,0.0,0.0,Yes,
16,1.418,30.3,9.0,39.3,1,1,11.3,0.0,0.0,0.0,Yes,
17,1.479,28.1,8.9,37.1,1,1,11.5,0.0,0.0,0.0,Yes,
18,1.545,32.3,10.2,42.4,1,1,11.7,0.0,0.0,0.0,Yes,
19,1.615,30.1,16.1,46.2,1,1,11.8,0.0,0.0,0.0,Yes,
20,1.677,29.9,8.5,38.3,1,1,11.9,0.0,0.0,0.0,Yes,
21,1.741,28.1,12.6,40.7,1,1,12.1,0.0,0.0,0.0,Yes,
22,1.838,70.5,3.2,73.8,0,0,12.0,0.0,0.0,0.0,Yes,
23,1.918,43.1,12.9,56.0,1,1,12.0,0.0,0.0,0.0,Yes,
24,1.998,44.0,13.7,57.7,1,1,12.0,0.0,0.0,0.0,Yes,
25,2.109,68.8,19.1,88.0,1,1,11.9,0.0,0.0,0.0,Yes,
26,2.288,121.6,33.3,154.9,1,1,11.4,0.0,0.0,0.0,Yes,
27,2.426,79.9,34.8,114.7,1,1,11.1,0.0,0.0,0.0,Yes,
28,2.534,63.5,21.9,85.4,1,1,11.0,0.0,0.0,0.0,Yes,
29,2.722,127.1,37.4,164.5,1,1,10.7,0.0,0.0,0.0,Yes,
30,2.853,104.4,4.0,108.4,0,0,10.5,0.0,0.0,0.0,Yes,
31,3.007,118.2,12.3,130.5,1,1,10.3,0.0,0.0,0.0,Yes,
32,3.189,127.1,31.6,158.7,1,1,10.0,0.0,0.0,0.0,Yes,
33,3.475,245.7,15.6,261.3,1,1,9.5,0.0,0.0,0.0,Yes,
34,3.721,142.5,78.7,221.2,1,1,9.1,0.0,0.0,0.0,Yes,
35,3.890,137.6,6.5,144.1,0,0,9.0,0.0,0.0,0.0,Yes,
36,4.010,89.2,5.9,95.1,0,0,9.0,0.0,0.0,0.0,Yes,
37,4.077,32.3,10.3,42.7,0,0,9.1,0.0,0.0,0.0,Yes,
38,4.158,34.4,22.4,56.8,1,0,9.1,0.0,0.0,0.0,Yes,
39,4.423,214.6,26.9,241.5,1,0,8.8,0.0,0.0,0.0,Yes,
40,4.708,248.7,9.6,258.4,1,1,8.5,0.0,0.0,0.0,Yes,
41,4.997,254.0,10.9,264.9,1,1,8.2,0.0,0.0,0.0,Yes,
42,5.282,251.6,8.4,260.1,1,1,8.0,0.0,0.0,0.0,Yes,
43,5.555,225.1,20.4,245.6,1,1,7.7,0.0,0.0,0.0,Yes,
44,5.827,225.3,22.6,247.9,1,1,7.6,0.0,0.0,0.0,Yes,
45,6.119,256.0,10.8,266.8,1,1,7.4,0.0,0.0,0.0,Yes,
46,6.327,146.6,33.8,180.4,1,1,7.3,0.0,0.0,0.0,Yes,
47,6.613,251.3,8.2,259.5,1,1,7.1,0.0,0.0,0.0,Yes,
48,6.884,218.0,28.3,246.2,1,1,7.0,0.0,0.0,0.0,Yes,
49,7.175,252.2,11.7,263.9,1,1,6.8,0.0,0.0,0.0,Yes,
50,7.464,255.3,10.1,265.3,1,1,6.7,0.0,0.0,0.0,Yes,
51,7.763,248.8,25.0,273.8,1,1,6.6,0.0,0.0,0.0,Yes,
52,8.034,172.4,72.6,245.0,1,1,6.5,0.0,0.0,0.0,Yes,
53,8.322,253.7,9.8,263.5,1,1,6.4,0.0,0.0,0.0,Yes,
54,8.610,225.1,38.3,263.4,1,1,6.3,0.0,0.0,0.0,Yes,
55,8.905,259.0,10.1,269.1,1,1,6.2,0.0,0.0,0.0,Yes,
56,9.206,267.6,8.4,276.1,1,1,6.1,0.0,0.0,0.0,Yes,
57,9.514,246.6,36.3,282.9,1,1,6.0,0.0,0.0,0.0,Yes,
58,9.784,152.1,92.3,244.4,1,1,5.9,0.0,0.0,0.0,Yes,
59,9.996,153.8,33.7,187.5,1,1,5.9,0.0,0.0,0.0,Yes,
60,10.233,173.8,36.5,210.3,1,1,5.9,0.0,0.0,0.0,Yes,
61,10.522,246.7,15.5,262.3,1,1,5.8,0.0,0.0,0.0,Yes,
62,10.806,249.3,9.7,259.0,1,1,5.7,0.0,0.0,0.0,Yes,
63,10.965,100.6,31.8,132.4,1,1,5.7,0.0,0.0,0.0,Yes,
64,11.168,141.3,35.7,177.0,1,1,5.7,0.0,0.0,0.0,Yes,
65,11.440,149.9,95.9,245.8,1,1,5.7,0.0,0.0,0.0,Yes,
