# System Information
# OS,Darwin,Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:23 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,yolo11n-pose.pt,Size,5.97 MB
# Model Task,pose,Version,unknown
# Tracker,strongsort
# Device,auto,Half Precision,False,Confidence Threshold,0.3

# Video,data/videos/WIN_20250319_10_03_53_Pro.mp4
# Resolution,1920x1080,FPS,28,Total Frames,1369

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,YOLO_Preprocess_ms,YOLO_Inference_ms,YOLO_Postprocess_ms,CUDA_Used,Model,Tracker,Notes
1,0.123,91.4,15.2,106.6,1,0,8.2,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
2,0.328,40.5,13.3,53.8,1,0,6.1,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
3,0.454,54.0,20.5,74.5,1,1,6.6,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
4,0.629,128.7,16.9,145.7,1,1,6.4,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
5,0.701,33.8,12.8,46.6,1,1,7.1,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
6,0.784,33.0,11.6,44.6,1,1,7.7,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
7,0.869,35.3,12.0,47.3,1,1,8.1,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
8,0.941,33.0,13.1,46.1,1,1,8.5,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
9,1.010,33.2,12.0,45.2,1,1,8.9,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
10,1.080,35.9,10.5,46.5,1,1,9.3,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
11,1.148,33.4,10.9,44.3,1,1,9.6,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
