# System Information
# OS,Darwin,Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:23 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,yolo11n.pt,Size,5.35 MB
# Model Task,detect,Version,unknown
# Tracker,strongsort
# Device,auto,Half Precision,False,Confidence Threshold,0.3

# Video,data/videos/WIN_20250319_10_03_53_Pro.mp4
# Resolution,1920x1080,FPS,28,Total Frames,1369

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,YOLO_Preprocess_ms,YOLO_Inference_ms,YOLO_Postprocess_ms,CUDA_Used,Model,Tracker,Notes
1,0.084,58.7,10.3,69.0,1,0,12.0,0.0,0.0,0.0,Yes,yolo11n,strongsort,
2,0.269,34.7,10.8,45.6,1,0,7.4,0.0,0.0,0.0,Yes,yolo11n,strongsort,
3,0.384,40.8,15.5,56.3,1,1,7.8,0.0,0.0,0.0,Yes,yolo11n,strongsort,
4,0.485,56.3,15.9,72.2,1,1,8.3,0.0,0.0,0.0,Yes,yolo11n,strongsort,
5,0.566,42.9,12.3,55.2,1,1,8.8,0.0,0.0,0.0,Yes,yolo11n,strongsort,
6,0.635,37.9,11.4,49.3,1,1,9.4,0.0,0.0,0.0,Yes,yolo11n,strongsort,
7,0.735,37.8,13.1,50.9,1,1,9.5,0.0,0.0,0.0,Yes,yolo11n,strongsort,
8,0.805,31.6,11.5,43.1,1,1,9.9,0.0,0.0,0.0,Yes,yolo11n,strongsort,
9,0.872,31.8,11.2,43.0,1,1,10.3,0.0,0.0,0.0,Yes,yolo11n,strongsort,
10,0.941,31.9,13.3,45.2,1,1,10.6,0.0,0.0,0.0,Yes,yolo11n,strongsort,
11,1.010,31.4,12.3,43.8,1,1,10.9,0.0,0.0,0.0,Yes,yolo11n,strongsort,
12,1.077,32.5,10.9,43.4,1,1,11.1,0.0,0.0,0.0,Yes,yolo11n,strongsort,
13,1.146,31.6,13.3,44.9,1,1,11.3,0.0,0.0,0.0,Yes,yolo11n,strongsort,
14,1.213,29.9,12.2,42.1,1,1,11.5,0.0,0.0,0.0,Yes,yolo11n,strongsort,
15,1.279,31.4,10.6,42.0,1,1,11.7,0.0,0.0,0.0,Yes,yolo11n,strongsort,
16,1.346,31.1,12.5,43.6,1,1,11.9,0.0,0.0,0.0,Yes,yolo11n,strongsort,
17,1.414,32.2,12.1,44.3,1,1,12.0,0.0,0.0,0.0,Yes,yolo11n,strongsort,
18,1.488,35.4,13.6,49.1,1,1,12.1,0.0,0.0,0.0,Yes,yolo11n,strongsort,
19,1.569,34.8,21.7,56.5,1,1,12.1,0.0,0.0,0.0,Yes,yolo11n,strongsort,
20,1.639,33.7,11.4,45.1,1,1,12.2,0.0,0.0,0.0,Yes,yolo11n,strongsort,
21,1.708,32.6,12.2,44.9,1,1,12.3,0.0,0.0,0.0,Yes,yolo11n,strongsort,
22,1.890,153.8,3.8,157.6,0,0,11.6,0.0,0.0,0.0,Yes,yolo11n,strongsort,
23,1.978,39.2,24.6,63.8,1,1,11.6,0.0,0.0,0.0,Yes,yolo11n,strongsort,
24,2.083,64.6,17.0,81.5,1,1,11.5,0.0,0.0,0.0,Yes,yolo11n,strongsort,
25,2.182,55.6,19.1,74.7,1,1,11.5,0.0,0.0,0.0,Yes,yolo11n,strongsort,
26,2.268,46.6,14.9,61.4,1,1,11.5,0.0,0.0,0.0,Yes,yolo11n,strongsort,
27,2.348,39.0,16.8,55.9,1,1,11.5,0.0,0.0,0.0,Yes,yolo11n,strongsort,
28,2.436,47.1,17.6,64.8,1,1,11.5,0.0,0.0,0.0,Yes,yolo11n,strongsort,
29,2.522,48.2,14.0,62.2,1,1,11.5,0.0,0.0,0.0,Yes,yolo11n,strongsort,
