start_frame,start_time,end_frame,end_time,duration
15,1742889336.0287418,17,1742889336.1462889,0.11754703521728516
19,1742889336.193967,19,1742889336.2334762,0.03950905799865723
442,1742889353.3841448,447,1742889353.623574,0.23942923545837402
553,1742889357.316677,557,1742889357.516714,0.20003700256347656
602,1742889359.3372622,606,1742889359.5389462,0.20168399810791016
650,1742889361.342883,654,1742889361.545204,0.20232081413269043
746,1742889365.2068858,750,1742889365.4083571,0.20147132873535156
830,1742889368.611413,834,1742889368.8115158,0.2001028060913086
880,1742889370.6457,884,1742889370.849343,0.2036430835723877
932,1742889372.683824,937,1742889372.92449,0.24066591262817383
983,1742889374.6992671,988,1742889374.934906,0.23563885688781738
1042,1742889377.004985,1047,1742889377.243402,0.2384169101715088
1094,1742889379.0316002,1099,1742889379.263933,0.23233270645141602
1146,1742889381.049819,1151,1742889381.278189,0.22836995124816895
1198,1742889383.066236,1203,1742889383.3006778,0.23444175720214844
1280,1742889385.9721699,1283,1742889386.126682,0.1545121669769287
1329,1742889387.992586,1333,1742889388.192864,0.20027804374694824
