start_frame,start_time,end_frame,end_time,duration
6,1742888713.0559208,6,1742888713.123501,0.0675802230834961
42,1742888715.077555,42,1742888715.1361,0.05854511260986328
77,1742888717.125257,77,1742888717.182497,0.05724000930786133
112,1742888719.164723,112,1742888719.222238,0.05751514434814453
261,1742888727.662963,261,1742888727.74618,0.08321714401245117
295,1742888729.673764,295,1742888729.730488,0.05672407150268555
375,1742888734.221837,375,1742888734.279988,0.0581510066986084
410,1742888736.23047,410,1742888736.287745,0.05727505683898926
446,1742888738.258711,446,1742888738.315595,0.056883811950683594
586,1742888746.279027,586,1742888746.33709,0.05806303024291992
621,1742888748.280042,621,1742888748.335209,0.05516695976257324
660,1742888750.517312,660,1742888750.576284,0.05897188186645508
700,1742888752.824063,700,1742888752.879804,0.0557408332824707
735,1742888754.82768,735,1742888754.8852842,0.057604074478149414
787,1742888757.795016,787,1742888757.852322,0.05730605125427246
823,1742888759.8503768,823,1742888759.905547,0.05517005920410156
864,1742888762.184214,864,1742888762.241736,0.057521820068359375
901,1742888764.283243,901,1742888764.344803,0.06156015396118164
937,1742888766.330092,937,1742888766.390015,0.05992293357849121
972,1742888768.366882,972,1742888768.4243798,0.05749773979187012
1041,1742888772.5833511,1041,1742888772.640671,0.05731987953186035
1076,1742888774.6217651,1076,1742888774.681586,0.05982089042663574
1120,1742888777.25329,1120,1742888777.310795,0.057505130767822266
1154,1742888779.277417,1154,1742888779.3371332,0.059716224670410156
1189,1742888781.325536,1189,1742888781.3853152,0.05977916717529297
1223,1742888783.364972,1223,1742888783.4230661,0.058094024658203125
1309,1742888788.5325298,1309,1742888788.5946372,0.06210732460021973
1347,1742888790.7241678,1347,1742888790.779305,0.05513715744018555
