frame_number,timestamp,bbox_center_x,bbox_center_y,hip_center_x,hip_center_y,left_hip_x,left_hip_y,left_hip_visibility,right_hip_x,right_hip_y,right_hip_visibility,shoulder_center_x,shoulder_center_y,bbox_width,bbox_height,hip_available
10,0.375,,,,,,,,,,,,,,,False
20,0.7916666666666667,,,,,,,,,,,,,,,False
30,1.2083333333333335,,,,,,,,,,,,,,,False
40,1.625,,,,,,,,,,,,,,,False
50,2.0433333333333334,1181.5,495.0,,,,,,,,,1281.092758178711,545.8713555335999,197,182,False
60,2.46,948.0,486.0,,,,,,,,,994.4827651977539,494.66227769851685,164,206,False
70,2.876666666666667,812.5,430.5,,,,,,,,,801.4634704589844,456.2092924118042,147,163,False
80,3.2933333333333334,726.0,459.5,,,,,,,,,725.953483581543,462.78757095336914,128,199,False
90,3.7100000000000004,763.5,572.0,,,,,,,,,719.5718383789062,550.4138588905334,301,296,False
100,4.126666666666667,688.0,657.0,,,,,,,,,697.701301574707,701.1014556884766,132,126,False
110,4.543333333333334,759.5,695.5,,,,,,,,,759.8732757568359,796.3099193572998,99,49,False
120,4.96,799.0,699.5,,,,,,,,,799.9668884277344,811.6146469116211,106,41,False
130,5.376666666666667,,,,,,,,,,,,,,,False
140,5.793333333333334,,,,,,,,,,,,,,,False
150,6.211666666666667,737.0,630.0,,,,,,,,,725.8931350708008,634.0724945068359,70,84,False
160,6.628333333333334,754.5,601.5,,,,,,,,,755.9008026123047,600.5299043655396,77,59,False
170,7.045000000000001,,,,,,,,,,,,,,,False
180,7.461666666666667,709.0,618.5,,,,,,,,,731.041259765625,636.2716913223267,234,203,False
190,7.878333333333334,714.5,614.5,,,,,,,,,738.0907440185547,623.9869379997253,233,211,False
200,8.295,719.5,603.5,,,,,,,,,741.36474609375,605.6353282928467,227,221,False
210,8.711666666666668,721.0,575.0,,,,,,,,,749.0012741088867,585.0151705741882,230,190,False
220,9.128333333333334,723.0,573.0,,,,,,,,,752.1977233886719,576.7698884010315,226,184,False
230,9.545,749.0,587.5,,,,,,,,,758.6722183227539,565.2133011817932,246,233,False
240,9.961666666666668,765.5,558.0,,,,,,,,,760.6576538085938,549.1720175743103,209,196,False
250,10.38,767.0,543.0,,,,,,,,,762.5282287597656,528.4100675582886,162,196,False
260,10.796666666666667,758.5,575.0,757.4755859375,688.1325674057007,733.9198303222656,691.4990186691284,0.5018404722213745,781.0313415527344,684.766116142273,0.5367574691772461,761.6360092163086,517.3758673667908,189,272,True
270,11.213333333333335,753.5,569.5,759.9993896484375,677.335045337677,734.7456359863281,681.5199565887451,0.5439538359642029,785.2531433105469,673.1501340866089,0.5750458240509033,760.7051849365234,514.220495223999,185,263,True
280,11.63,750.5,567.5,757.7005004882812,680.0147867202759,731.3294219970703,682.8820037841797,0.5838117003440857,784.0715789794922,677.1475696563721,0.6114464402198792,758.7548828125,512.3477339744568,191,269,True
290,12.046666666666667,750.0,569.5,755.5437088012695,683.4310841560364,729.4761657714844,684.3440008163452,0.6204097270965576,781.6112518310547,682.5181674957275,0.6439113020896912,759.6774291992188,514.2715430259705,196,269,True
300,12.463333333333335,751.0,572.5,752.9904174804688,688.9072751998901,727.7794647216797,688.0339908599854,0.656217634677887,778.2013702392578,689.7805595397949,0.6730524301528931,758.7203598022461,516.5967607498169,198,273,True
310,12.88,750.5,573.0,747.3267364501953,689.8621845245361,721.1582946777344,689.2176389694214,0.6888942718505859,773.4951782226562,690.5067300796509,0.7019403576850891,758.0250930786133,515.4465222358704,201,274,True
320,13.296666666666667,755.5,569.0,745.6153869628906,679.8613214492798,720.2194976806641,680.5873203277588,0.7141687273979187,771.0112762451172,679.1353225708008,0.7247034907341003,756.9367980957031,512.9755640029907,191,262,True
330,13.713333333333335,758.5,562.0,743.6386871337891,668.5688138008118,718.3943176269531,669.9697208404541,0.7397561073303223,768.883056640625,667.1679067611694,0.7491990327835083,755.1050186157227,508.19857120513916,181,254,True
340,14.131666666666668,755.0,557.5,743.0696487426758,661.8420696258545,717.8073120117188,663.1977653503418,0.7640030384063721,768.3319854736328,660.4863739013672,0.771619439125061,754.7670364379883,503.0407691001892,184,251,True
350,14.548333333333334,752.0,559.0,742.5899505615234,667.9688358306885,716.3968658447266,668.8625907897949,0.7848652601242065,768.7830352783203,667.075080871582,0.7918911576271057,754.7554397583008,502.60337591171265,188,258,True
360,14.965000000000002,751.5,554.0,742.7887344360352,658.0779433250427,716.4897918701172,660.1043844223022,0.8053823709487915,769.0876770019531,656.0515022277832,0.8112528324127197,754.7467803955078,498.1158685684204,189,252,True
370,15.381666666666668,752.5,539.5,743.3680725097656,632.2602653503418,717.4784088134766,629.98450756073,0.8243799209594727,769.2577362060547,634.5360231399536,0.8294637799263,756.2776184082031,491.7252802848816,177,229,True
380,15.798333333333334,759.0,536.5,751.9620132446289,630.0815176963806,727.2084045410156,628.4558200836182,0.8410677313804626,776.7156219482422,631.7072153091431,0.8453208208084106,758.3135223388672,492.33789682388306,158,229,True
390,16.215,761.0,531.5,754.5625686645508,622.4004006385803,727.520751953125,621.2670278549194,0.856799840927124,781.6043853759766,623.5337734222412,0.8605278134346008,759.3804550170898,489.7386860847473,148,223,True
400,16.631666666666668,762.5,528.5,756.5036392211914,614.7918748855591,728.3271026611328,612.2122764587402,0.8710538148880005,784.68017578125,617.3714733123779,0.8743736147880554,760.7270431518555,489.0826177597046,145,217,True
410,17.048333333333336,758.5,526.5,757.0784759521484,612.049777507782,729.8221588134766,611.0179424285889,0.8838825225830078,784.3347930908203,613.0816125869751,0.8868449926376343,760.9923553466797,488.4300684928894,163,213,True
420,17.465,757.0,524.5,756.7550659179688,612.275812625885,730.4039001464844,612.4651336669922,0.8953771591186523,783.1062316894531,612.0864915847778,0.8979852199554443,760.5298614501953,487.71992683410645,180,215,True
